combination,rate
"(0, 1, 6, 7)",1.0
"(0, 7)",1.0
"(0, 5, 7)",1.0
"(0, 1, 2, 5)",1.0
"(1, 6)",1.0
"(3, 7)",1.0
"(2, 5)",1.0
"(2, 6, 7)",1.0
"(6, 7)",1.0
"(2, 3, 5, 7)",1.0
"(0, 2, 5)",1.0
"(0, 4)",1.0
"(7,)",1.0
"(0, 2, 5, 6)",1.0
"(2, 6)",1.0
"(0, 2, 7)",1.0
"(4, 5)",1.0
"(1, 5, 6, 7)",1.0
"(2, 5, 7)",1.0
"(0, 1)",1.0
"(1, 3, 7)",1.0
"(0,)",1.0
"(1, 2, 6)",1.0
"(1, 5, 7)",1.0
"(0, 4, 6, 7)",1.0
"(1, 3, 5)",1.0
"(0, 1, 5, 7)",1.0
"(0, 1, 3, 6)",1.0
"(0, 1, 4, 5)",1.0
"(4, 6, 7)",1.0
"(0, 4, 6)",1.0
"(0, 3, 5, 6)",1.0
"(0, 1, 4)",1.0
"(4,)",1.0
"(0, 1, 6)",1.0
"(1,)",1.0
"(0, 6, 7)",1.0
"(2, 5, 6, 7)",1.0
"(1, 5)",1.0
"(3, 6)",1.0
"(0, 1, 2, 6)",1.0
"(0, 4, 5, 6)",1.0
"(0, 3, 5, 7)",1.0
"(0, 1, 4, 6)",1.0
"(1, 2, 6, 7)",1.0
"(1, 4, 6, 7)",1.0
"(0, 5)",1.0
"(1, 4, 5, 7)",1.0
"(4, 5, 6)",1.0
"(0, 3, 7)",1.0
"(3, 5)",1.0
"(2, 7)",1.0
"(1, 3, 6, 7)",1.0
"(0, 5, 6, 7)",1.0
"(4, 6)",1.0
"(0, 2, 5, 7)",1.0
"(2,)",1.0
"(0, 3, 5)",1.0
"(3, 5, 6)",1.0
"(0, 2)",1.0
"(1, 4, 7)",1.0
"(1, 3)",1.0
"(0, 5, 6)",1.0
"(1, 4, 5)",1.0
"(0, 1, 5, 6)",1.0
"(1, 2, 5, 7)",1.0
"(3,)",1.0
"(0, 3, 6, 7)",1.0
"(2, 3, 5, 6)",1.0
"(0, 1, 2)",1.0
"(0, 2, 6, 7)",1.0
"(0, 2, 6)",1.0
"(1, 3, 5, 7)",1.0
"(1, 4)",1.0
"(4, 5, 7)",1.0
"(2, 5, 6)",1.0
"(1, 2, 5)",1.0
"(0, 1, 2, 7)",1.0
"(1, 3, 6)",1.0
"(1, 2, 7)",1.0
"(0, 1, 4, 7)",1.0
"(1, 5, 6)",1.0
"(0, 6)",1.0
"(0, 4, 7)",1.0
"(1, 4, 5, 6)",1.0
"(2, 3, 5)",1.0
"(4, 7)",1.0
"(5, 7)",1.0
"(0, 4, 5)",1.0
"(3, 5, 6, 7)",1.0
"(5, 6)",1.0
"(0, 1, 3)",1.0
"(0, 3)",1.0
"(0, 1, 5)",1.0
"(1, 2)",1.0
"(5, 6, 7)",1.0
"(0, 1, 7)",1.0
"(5,)",1.0
"(3, 6, 7)",1.0
"(0, 1, 3, 7)",1.0
"(1, 6, 7)",1.0
"(1, 2, 5, 6)",1.0
"(0, 3, 6)",1.0
"(1, 3, 5, 6)",1.0
"(4, 5, 6, 7)",1.0
"(0, 1, 3, 5)",1.0
"(1, 7)",1.0
"(3, 5, 7)",1.0
"(6,)",1.0
"(1, 4, 6)",1.0
"(0, 4, 5, 7)",1.0
"(0, 2, 3)",0.994490358127
"(2, 3, 6, 7)",0.994490358127
"(0, 3, 4, 5)",0.994490358127
"(3, 4, 5)",0.994490358127
"(2, 3, 4)",0.994490358127
"(1, 3, 4, 5)",0.994490358127
"(3, 4, 7)",0.994490358127
"(2, 3, 6)",0.994490358127
"(1, 2, 3, 7)",0.994490358127
"(0, 1, 2, 3)",0.994490358127
"(1, 3, 4, 6)",0.994490358127
"(0, 2, 3, 5)",0.994490358127
"(0, 2, 3, 6)",0.994490358127
"(2, 3, 4, 5)",0.994490358127
"(0, 3, 4, 6)",0.994490358127
"(2, 3, 4, 6)",0.994490358127
"(0, 1, 3, 4)",0.994490358127
"(1, 2, 3, 6)",0.994490358127
"(1, 2, 3, 5)",0.994490358127
"(1, 2, 3)",0.994490358127
"(2, 3)",0.994490358127
"(2, 3, 7)",0.994490358127
"(3, 4, 5, 6)",0.994490358127
"(1, 3, 4)",0.994490358127
"(3, 4)",0.994490358127
"(3, 4, 6)",0.994490358127
"(0, 2, 3, 7)",0.994490358127
"(1, 3, 4, 7)",0.994490358127
"(0, 3, 4, 7)",0.994490358127
"(2, 3, 4, 7)",0.994490358127
"(3, 4, 5, 7)",0.994490358127
"(0, 3, 4)",0.994490358127
"(1, 2, 3, 4)",0.994490358127
"(3, 4, 6, 7)",0.994490358127
"(0, 2, 3, 4)",0.99173553719
"(1, 2, 4, 7)",0.988980716253
"(1, 2, 4)",0.988980716253
"(2, 4, 5, 7)",0.988980716253
"(0, 2, 4, 6)",0.988980716253
"(0, 2, 4, 5)",0.988980716253
"(2, 4, 6, 7)",0.988980716253
"(2, 4, 6)",0.988980716253
"(1, 2, 4, 6)",0.988980716253
"(0, 2, 4)",0.988980716253
"(0, 1, 2, 4)",0.988980716253
"(2, 4)",0.988980716253
"(1, 2, 4, 5)",0.988980716253
"(2, 4, 5)",0.988980716253
"(2, 4, 5, 6)",0.988980716253
"(2, 4, 7)",0.988980716253
"(0, 2, 4, 7)",0.988980716253
