combination,rate
"(6, 7)",1.0
"(6,)",1.0
"(0, 4)",1.0
"(0, 3, 7)",1.0
"(7,)",1.0
"(1, 2)",1.0
"(0, 1, 8)",0.995327102804
"(1,)",0.995327102804
"(0, 2, 7, 8)",0.995327102804
"(0, 2, 8)",0.995327102804
"(0, 2, 6, 7, 8)",0.995327102804
"(1, 7, 8)",0.995327102804
"(0, 7)",0.995327102804
"(1, 6)",0.995327102804
"(1, 6, 8)",0.995327102804
"(0, 2)",0.995327102804
"(0, 6, 8)",0.995327102804
"(6, 7, 8)",0.995327102804
"(0, 2, 6, 8)",0.995327102804
"(1, 8)",0.995327102804
"(0, 7, 8)",0.995327102804
"(8,)",0.995327102804
"(0, 8)",0.995327102804
"(0, 2, 6, 7)",0.995327102804
"(0, 6)",0.995327102804
"(1, 7)",0.995327102804
"(0, 6, 7, 8)",0.995327102804
"(0, 2, 7)",0.995327102804
"(0,)",0.995327102804
"(7, 8)",0.995327102804
"(1, 6, 7, 8)",0.995327102804
"(0, 2, 6)",0.995327102804
"(6, 8)",0.995327102804
"(0, 3)",0.995327102804
"(1, 2, 8)",0.990654205607
"(2, 6, 7, 8)",0.990654205607
"(0, 6, 7)",0.990654205607
"(0, 1, 7, 8)",0.990654205607
"(2,)",0.990654205607
"(2, 8)",0.990654205607
"(0, 3, 6, 7)",0.990654205607
"(0, 3, 6)",0.990654205607
"(1, 2, 6, 8)",0.990654205607
"(2, 6, 8)",0.990654205607
"(1, 2, 6, 7, 8)",0.990654205607
"(1, 2, 6)",0.990654205607
"(1, 2, 3, 6, 8)",0.990654205607
"(1, 2, 3, 7, 8)",0.990654205607
"(1, 2, 7, 8)",0.990654205607
"(0, 1, 6, 8)",0.990654205607
"(1, 2, 7)",0.990654205607
"(0, 1, 6, 7, 8)",0.990654205607
"(2, 7, 8)",0.990654205607
"(3, 7, 8)",0.985981308411
"(3, 6, 8)",0.985981308411
"(0, 3, 8)",0.985981308411
"(0, 3, 6, 8)",0.985981308411
"(1, 6, 7)",0.985981308411
"(4, 8)",0.985981308411
"(1, 2, 6, 7)",0.985981308411
"(1, 3)",0.985981308411
"(1, 2, 3, 8)",0.985981308411
"(1, 2, 3)",0.985981308411
"(0, 4, 7)",0.985981308411
"(1, 2, 3, 6, 7, 8)",0.985981308411
"(3, 8)",0.985981308411
"(0, 3, 7, 8)",0.985981308411
"(3,)",0.985981308411
"(0, 4, 8)",0.985981308411
"(4, 7, 8)",0.985981308411
"(4, 6, 8)",0.985981308411
"(0, 3, 6, 7, 8)",0.985981308411
"(3, 6, 7, 8)",0.985981308411
"(4, 6, 7, 8)",0.981308411215
"(0, 4, 7, 8)",0.981308411215
"(2, 7)",0.981308411215
"(0, 4, 6, 8)",0.981308411215
"(1, 3, 6, 7, 8)",0.981308411215
"(5, 8)",0.981308411215
"(2, 3, 8)",0.981308411215
"(2, 3, 6, 8)",0.981308411215
"(1, 3, 7, 8)",0.981308411215
"(2, 3, 7, 8)",0.981308411215
"(5, 7, 8)",0.981308411215
"(1, 4, 8)",0.981308411215
"(1, 2, 4)",0.981308411215
"(0, 4, 6)",0.981308411215
"(5, 6, 8)",0.981308411215
"(2, 3, 6, 7, 8)",0.981308411215
"(1, 3, 6, 8)",0.981308411215
"(4,)",0.981308411215
"(1, 3, 8)",0.981308411215
"(2, 6, 7)",0.976635514019
"(0, 4, 6, 7, 8)",0.976635514019
"(1, 3, 7)",0.976635514019
"(2, 4, 8)",0.976635514019
"(1, 3, 4, 6, 8)",0.976635514019
"(1, 2, 4, 6, 7, 8)",0.976635514019
"(1, 4, 7, 8)",0.976635514019
"(1, 2, 3, 4, 7, 8)",0.976635514019
"(1, 3, 6)",0.976635514019
"(1, 2, 3, 4, 6, 7, 8)",0.976635514019
"(0, 3, 4, 7, 8)",0.976635514019
"(3, 4, 7, 8)",0.976635514019
"(3, 4, 6, 7, 8)",0.976635514019
"(1, 2, 3, 4, 8)",0.976635514019
"(2, 3, 4, 7, 8)",0.976635514019
"(1, 3, 4, 6, 7, 8)",0.976635514019
"(3, 6)",0.976635514019
"(2, 3, 4, 6, 8)",0.976635514019
"(1, 2, 3, 4, 6, 8)",0.976635514019
"(1, 2, 3, 6)",0.976635514019
"(1, 2, 4, 7, 8)",0.976635514019
"(1, 3, 4)",0.976635514019
"(1, 4, 6, 8)",0.976635514019
"(5, 6, 7, 8)",0.976635514019
"(3, 4, 6, 8)",0.976635514019
"(2, 6)",0.976635514019
"(1, 2, 3, 7)",0.976635514019
"(1, 2, 4, 8)",0.976635514019
"(1, 3, 4, 7, 8)",0.976635514019
"(0, 1, 2, 7, 8)",0.976635514019
"(0, 3, 4, 6, 8)",0.976635514019
"(0, 1, 2, 6, 7, 8)",0.976635514019
"(0, 1, 2, 6, 8)",0.976635514019
"(1, 2, 3, 4)",0.976635514019
"(0, 1, 2, 8)",0.976635514019
"(1, 3, 4, 8)",0.976635514019
"(3, 7)",0.976635514019
"(1, 4, 6, 7, 8)",0.976635514019
"(2, 3, 4, 8)",0.976635514019
"(0, 3, 4, 8)",0.976635514019
"(0, 3, 4, 6, 7, 8)",0.976635514019
"(1, 2, 4, 6, 8)",0.976635514019
"(2, 3, 4, 6, 7, 8)",0.976635514019
"(3, 4, 8)",0.976635514019
"(1, 5, 6, 8)",0.971962616822
"(0, 2, 3, 7, 8)",0.971962616822
"(0, 1, 3, 6, 8)",0.971962616822
"(0, 1, 3, 7, 8)",0.971962616822
"(3, 4)",0.971962616822
"(1, 3, 4, 6)",0.971962616822
"(1, 3, 4, 7)",0.971962616822
"(2, 4, 6, 7, 8)",0.971962616822
"(2, 4, 7, 8)",0.971962616822
"(0, 2, 3, 8)",0.971962616822
"(0, 4, 6, 7)",0.971962616822
"(1, 5, 7, 8)",0.971962616822
"(1, 5, 8)",0.971962616822
"(0, 2, 4, 8)",0.971962616822
"(1, 4)",0.971962616822
"(2, 3)",0.971962616822
"(0, 1, 3, 6, 7, 8)",0.971962616822
"(0, 2, 3, 4, 6, 7, 8)",0.971962616822
"(0, 2, 3, 4, 6, 8)",0.971962616822
"(0, 2, 4, 6, 7, 8)",0.971962616822
"(0, 2, 3, 6, 8)",0.971962616822
"(2, 4, 6, 8)",0.971962616822
"(0, 1, 2, 3, 6, 7, 8)",0.971962616822
"(2, 3, 4)",0.971962616822
"(0, 1, 3, 8)",0.971962616822
"(0, 2, 3, 6, 7, 8)",0.971962616822
"(0, 2, 4, 6, 8)",0.971962616822
"(0, 2, 4, 7, 8)",0.971962616822
"(0, 2, 3, 4, 7, 8)",0.971962616822
"(0, 2, 3, 4, 8)",0.971962616822
"(0, 1, 4, 8)",0.967289719626
"(0, 1, 4, 6, 7, 8)",0.967289719626
"(1, 2, 3, 4, 6)",0.967289719626
"(0, 1, 2, 3, 6, 8)",0.967289719626
"(0, 1, 2, 3, 4, 8)",0.967289719626
"(0, 1, 4, 6, 8)",0.967289719626
"(2, 3, 4, 6)",0.967289719626
"(0, 1, 2, 3, 4, 7, 8)",0.967289719626
"(0, 5, 6, 7, 8)",0.967289719626
"(0, 1, 2, 4, 8)",0.967289719626
"(0, 1, 2, 4, 6, 7, 8)",0.967289719626
"(4, 7)",0.967289719626
"(0, 5, 6, 8)",0.967289719626
"(1, 5, 6, 7, 8)",0.967289719626
"(0, 5, 7, 8)",0.967289719626
"(0, 1, 2, 3, 4, 6, 8)",0.967289719626
"(0, 1, 2, 4, 6, 8)",0.967289719626
"(0, 1, 2, 4, 7, 8)",0.967289719626
"(0, 1, 2, 3, 8)",0.967289719626
"(0, 2, 3, 7)",0.967289719626
"(3, 6, 7)",0.967289719626
"(0, 1, 3, 4, 8)",0.967289719626
"(0, 1, 3, 4, 7, 8)",0.967289719626
"(1, 3, 6, 7)",0.967289719626
"(4, 6)",0.967289719626
"(0, 2, 3, 6)",0.967289719626
"(0, 1, 4, 7, 8)",0.967289719626
"(0, 1, 2, 3, 4, 6, 7, 8)",0.967289719626
"(2, 4)",0.967289719626
"(3, 4, 6)",0.967289719626
"(0, 1, 3, 4, 6, 7, 8)",0.967289719626
"(0, 1, 3, 4, 6, 8)",0.967289719626
"(1, 2, 4, 7)",0.967289719626
"(1, 2, 3, 6, 7)",0.967289719626
"(1, 2, 4, 6, 7)",0.967289719626
"(3, 4, 7)",0.967289719626
"(1, 2, 4, 6)",0.967289719626
"(2, 3, 4, 7)",0.967289719626
"(0, 1, 2, 3, 7, 8)",0.967289719626
"(3, 5, 6, 8)",0.96261682243
"(2, 5, 8)",0.96261682243
"(5,)",0.96261682243
"(1, 3, 5, 6, 8)",0.96261682243
"(0, 2, 3)",0.96261682243
"(1, 2, 5, 7, 8)",0.96261682243
"(4, 6, 7)",0.96261682243
"(0, 5, 8)",0.96261682243
"(3, 5, 7, 8)",0.96261682243
"(0, 2, 5, 7, 8)",0.96261682243
"(1, 2, 3, 4, 7)",0.96261682243
"(0, 2, 5, 6, 8)",0.96261682243
"(0, 1, 2, 5, 7, 8)",0.96261682243
"(1, 3, 5, 7, 8)",0.96261682243
"(1, 3, 4, 6, 7)",0.96261682243
"(1, 2, 5, 6, 7, 8)",0.96261682243
"(1, 2, 5, 6, 8)",0.96261682243
"(0, 1)",0.96261682243
"(0, 2, 3, 5, 7, 8)",0.96261682243
"(0, 1, 6)",0.96261682243
"(0, 1, 2, 5, 6, 7, 8)",0.96261682243
"(0, 2, 5, 6, 7, 8)",0.96261682243
"(2, 3, 4, 6, 7)",0.96261682243
"(0, 1, 7)",0.96261682243
"(1, 2, 5, 8)",0.96261682243
"(3, 4, 6, 7)",0.96261682243
"(0, 1, 2, 5, 8)",0.957943925234
"(2, 3, 5, 6, 7, 8)",0.957943925234
"(0, 3, 4, 6)",0.957943925234
"(2, 3, 7)",0.957943925234
"(0, 3, 4, 5, 6, 7, 8)",0.957943925234
"(0, 2, 5, 8)",0.957943925234
"(0, 2, 3, 5, 6, 7, 8)",0.957943925234
"(3, 5, 6, 7, 8)",0.957943925234
"(3, 4, 5, 6, 7, 8)",0.957943925234
"(2, 5, 6, 7, 8)",0.957943925234
"(3, 4, 5, 6, 8)",0.957943925234
"(1, 2, 3, 5, 8)",0.957943925234
"(3, 4, 5, 7, 8)",0.957943925234
"(2, 5, 6, 8)",0.957943925234
"(1, 2, 3, 5, 6, 8)",0.957943925234
"(1, 2, 3, 5, 6, 7, 8)",0.957943925234
"(1, 3, 5, 8)",0.957943925234
"(1, 2, 3, 5, 7, 8)",0.957943925234
"(0, 2, 3, 5, 8)",0.957943925234
"(0, 3, 4, 5, 8)",0.957943925234
