combination,rate
"(2, 6, 7)",1.0
"(2, 3, 6)",1.0
"(1,)",1.0
"(0, 6, 7)",1.0
"(2, 7)",1.0
"(2, 3, 4, 6)",1.0
"(3, 4)",1.0
"(4, 7)",1.0
"(2, 3, 7)",1.0
"(5,)",1.0
"(1, 6, 7)",1.0
"(0, 7)",1.0
"(1, 6)",1.0
"(6, 7)",1.0
"(0, 4, 6, 7)",1.0
"(4, 6, 7)",1.0
"(3, 6)",1.0
"(2,)",1.0
"(1, 4)",1.0
"(2, 3)",1.0
"(0, 4, 7)",1.0
"(5, 6, 7)",1.0
"(3, 6, 7)",1.0
"(6,)",1.0
"(0, 4)",1.0
"(2, 6)",1.0
"(2, 3, 6, 7)",1.0
"(0, 4, 6)",1.0
"(1, 4, 6, 7)",1.0
"(4, 6)",1.0
"(5, 7)",1.0
"(3,)",1.0
"(0, 6)",1.0
"(1, 7)",1.0
"(3, 4, 6)",1.0
"(1, 4, 6)",1.0
"(3, 7)",1.0
"(7,)",1.0
"(0,)",1.0
"(2, 3, 4)",1.0
"(3, 4, 7)",1.0
"(1, 4, 7)",1.0
"(4,)",1.0
"(2, 3, 4, 6, 7)",1.0
"(2, 3, 4, 7)",1.0
"(3, 4, 6, 7)",1.0
"(5, 6)",0.991935483871
"(2, 4)",0.991935483871
"(2, 4, 7)",0.991935483871
"(2, 4, 6, 7)",0.991935483871
"(2, 4, 6)",0.991935483871
"(0, 1, 4, 6, 7)",0.975806451613
"(0, 1, 4, 7)",0.975806451613
"(0, 1, 4, 6)",0.975806451613
"(0, 1, 4)",0.975806451613
"(0, 1, 6, 7)",0.975806451613
"(0, 1)",0.975806451613
"(0, 1, 6)",0.975806451613
"(0, 1, 7)",0.975806451613
"(1, 3, 4, 7)",0.959677419355
"(1, 2, 4)",0.959677419355
"(1, 3, 4, 6, 7)",0.959677419355
"(1, 2, 4, 6, 7)",0.959677419355
"(1, 2, 4, 6)",0.959677419355
"(0, 2, 4, 6)",0.951612903226
"(0, 3, 4, 6)",0.951612903226
"(1, 3, 4)",0.951612903226
"(0, 2, 4, 6, 7)",0.951612903226
"(0, 2, 4)",0.951612903226
"(1, 2, 4, 7)",0.951612903226
"(1, 2, 6)",0.951612903226
"(0, 2, 6)",0.951612903226
"(1, 2)",0.951612903226
"(1, 5, 7)",0.943548387097
"(1, 3, 6)",0.943548387097
"(1, 3, 4, 6)",0.943548387097
"(0, 2, 4, 7)",0.943548387097
"(0, 2, 3, 4)",0.943548387097
"(0, 2, 3, 4, 6)",0.943548387097
"(1, 2, 6, 7)",0.943548387097
"(0, 2)",0.943548387097
"(1, 2, 3, 6)",0.943548387097
"(1, 2, 3)",0.943548387097
"(0, 2, 3, 4, 6, 7)",0.943548387097
"(1, 2, 3, 4, 7)",0.943548387097
"(0, 1, 5, 7)",0.943548387097
"(1, 2, 3, 4, 6, 7)",0.943548387097
"(0, 2, 6, 7)",0.943548387097
"(0, 3, 4, 6, 7)",0.943548387097
"(0, 3, 4)",0.943548387097
"(0, 2, 7)",0.943548387097
"(0, 1, 5, 6, 7)",0.943548387097
"(0, 1, 3, 6, 7)",0.935483870968
"(1, 2, 3, 4, 6)",0.935483870968
"(0, 1, 2, 6)",0.935483870968
"(0, 1, 2, 3, 7)",0.935483870968
"(0, 1, 2, 3, 6, 7)",0.935483870968
"(0, 1, 2)",0.935483870968
"(1, 3)",0.935483870968
"(0, 1, 2, 4)",0.935483870968
"(0, 1, 3)",0.935483870968
"(1, 5, 6, 7)",0.935483870968
"(1, 2, 3, 7)",0.935483870968
"(0, 1, 2, 3)",0.935483870968
"(1, 3, 6, 7)",0.935483870968
