combination,rate
"(0,)",1.0
"(1,)",1.0
"(3,)",1.0
"(4,)",1.0
"(0, 3)",1.0
"(1, 2)",1.0
"(5,)",1.0
"(2,)",1.0
"(0, 4)",0.98828125
"(1, 3)",0.9765625
"(1, 2, 3)",0.9765625
"(2, 3)",0.97265625
"(0, 2)",0.9453125
"(0, 5)",0.90625
"(1, 4)",0.875
"(0, 5, 7, 8)",0.8671875
"(1, 2, 8)",0.8671875
"(1, 3, 6, 7, 8)",0.8671875
"(0, 1, 3, 4, 5, 8)",0.8671875
"(2, 6, 7, 8)",0.8671875
"(0, 1, 5, 6, 8)",0.8671875
"(0, 1, 2, 8)",0.8671875
"(0, 1, 4, 8)",0.8671875
"(0, 1, 3, 4, 5, 6, 8)",0.8671875
"(0, 3, 4, 5, 8)",0.8671875
"(0, 1, 3, 4, 8)",0.8671875
"(0, 1, 2, 3, 4, 5, 6, 8)",0.8671875
"(1, 2, 7, 8)",0.8671875
"(0, 1, 4, 6, 7, 8)",0.8671875
"(5, 8)",0.8671875
"(0, 1, 2, 3, 4, 8)",0.8671875
"(0, 4, 5, 8)",0.8671875
"(1, 2, 4, 5, 8)",0.8671875
"(4, 6, 7, 8)",0.8671875
"(0, 1, 5, 8)",0.8671875
"(0, 7, 8)",0.8671875
"(0, 3, 5, 8)",0.8671875
"(0, 1, 2, 7, 8)",0.8671875
"(2, 3, 4, 5, 6, 7, 8)",0.8671875
"(1, 4, 5, 7, 8)",0.8671875
"(3, 5, 6, 7, 8)",0.8671875
"(0, 1, 2, 3, 6, 8)",0.8671875
"(1, 2, 5, 7, 8)",0.8671875
"(1, 5, 6, 8)",0.8671875
"(0, 1, 2, 3, 4, 6, 7, 8)",0.8671875
"(2, 3, 4, 7, 8)",0.8671875
"(0, 2, 3, 4, 5, 7, 8)",0.8671875
"(0, 1, 8)",0.8671875
"(0, 1, 3, 4, 6, 7, 8)",0.8671875
"(1, 2, 4, 5, 6, 7, 8)",0.8671875
"(2, 5, 7, 8)",0.8671875
"(3, 4, 5, 6, 7, 8)",0.8671875
"(8,)",0.8671875
"(0, 1, 3, 5, 6, 8)",0.8671875
"(1, 3, 6, 8)",0.8671875
"(1, 2, 3, 4, 5, 6, 8)",0.8671875
"(1, 3, 7, 8)",0.8671875
"(0, 2, 5, 6, 8)",0.8671875
"(0, 1, 2, 3, 6, 7, 8)",0.8671875
"(2, 4, 5, 7, 8)",0.8671875
"(0, 1, 2, 3, 5, 6, 8)",0.8671875
