combination,rate
"(4, 5)",1.0
"(0,)",1.0
"(1,)",1.0
"(3,)",1.0
"(4,)",1.0
"(5,)",1.0
"(2,)",1.0
"(3, 5)",0.99
"(2, 5)",0.966666666667
"(2, 3)",0.953333333333
"(2, 3, 5)",0.943333333333
"(3, 4)",0.936666666667
"(3, 4, 5)",0.913333333333
"(2, 3, 4)",0.913333333333
"(2, 4)",0.91
"(1, 5)",0.903333333333
"(2, 4, 5)",0.893333333333
"(4, 6)",0.89
"(7,)",0.886666666667
"(2, 3, 4, 5)",0.886666666667
"(3, 6)",0.886666666667
"(4, 5, 6)",0.886666666667
"(5, 6)",0.886666666667
"(6,)",0.883333333333
"(2, 6)",0.876666666667
"(0, 5, 7, 8)",0.873333333333
"(1, 2, 8)",0.873333333333
"(2, 6, 7, 8)",0.873333333333
"(0, 1, 2, 8)",0.873333333333
"(0, 1, 4, 8)",0.873333333333
"(1, 2, 7, 8)",0.873333333333
"(5, 8)",0.873333333333
"(3, 4, 7, 8)",0.873333333333
"(0, 4, 5, 8)",0.873333333333
"(4, 6, 7, 8)",0.873333333333
"(0, 1, 5, 8)",0.873333333333
"(0, 7, 8)",0.873333333333
"(0, 3, 5, 8)",0.873333333333
"(1, 5, 6, 8)",0.873333333333
"(0, 1, 8)",0.873333333333
"(2, 5, 7, 8)",0.873333333333
"(8,)",0.873333333333
"(1, 3, 6, 8)",0.873333333333
"(1, 5, 7, 8)",0.873333333333
"(2, 3, 5, 8)",0.873333333333
"(1, 3, 7, 8)",0.873333333333
"(2, 3, 8)",0.873333333333
"(0, 2, 3, 8)",0.873333333333
"(2, 4, 8)",0.873333333333
"(3, 7, 8)",0.873333333333
"(7, 8)",0.873333333333
"(0, 1, 3, 8)",0.873333333333
"(2, 3, 4, 8)",0.873333333333
"(0, 3, 6, 8)",0.873333333333
"(0, 1, 7, 8)",0.873333333333
"(2, 4, 7, 8)",0.873333333333
"(1, 6, 8)",0.873333333333
"(5, 6, 8)",0.873333333333
"(1, 2, 5, 8)",0.873333333333
"(0, 4, 7, 8)",0.873333333333
"(3, 5, 6, 8)",0.873333333333
"(1, 6, 7, 8)",0.873333333333
"(0, 3, 7, 8)",0.873333333333
"(1, 4, 5, 8)",0.873333333333
"(0, 5)",0.873333333333
"(0, 8)",0.873333333333
"(0, 5, 8)",0.873333333333
"(0, 2, 7, 8)",0.873333333333
"(0, 2, 8)",0.873333333333
"(4, 5, 8)",0.873333333333
"(4, 5, 7, 8)",0.873333333333
"(1, 2, 4, 8)",0.873333333333
"(4, 8)",0.873333333333
"(2, 8)",0.873333333333
"(2, 3, 6, 8)",0.873333333333
"(2, 5, 8)",0.873333333333
"(3, 6, 8)",0.873333333333
"(1, 2, 6, 8)",0.873333333333
"(1, 4, 7, 8)",0.873333333333
"(3, 5, 8)",0.873333333333
"(0, 4, 6, 8)",0.873333333333
"(3, 4, 5, 8)",0.873333333333
"(0, 3, 4, 8)",0.873333333333
"(3, 5, 7, 8)",0.873333333333
"(2, 3, 7, 8)",0.873333333333
"(1, 2, 3, 8)",0.873333333333
"(2, 5, 6, 8)",0.873333333333
"(1, 3, 4, 8)",0.873333333333
"(1, 5, 8)",0.873333333333
"(0, 4, 8)",0.873333333333
"(0, 2, 4, 8)",0.873333333333
"(4, 7, 8)",0.873333333333
"(3, 6, 7, 8)",0.873333333333
"(6, 8)",0.873333333333
"(2, 4, 6, 8)",0.873333333333
"(3, 4, 6, 8)",0.873333333333
"(0, 6, 8)",0.873333333333
"(1, 4, 6, 8)",0.873333333333
"(2, 6, 8)",0.873333333333
"(0, 5, 6, 8)",0.873333333333
"(0, 3, 8)",0.873333333333
"(4, 6, 8)",0.873333333333
"(5, 7, 8)",0.873333333333
"(5, 6, 7, 8)",0.873333333333
"(1, 3, 5, 8)",0.873333333333
"(0, 2, 5, 8)",0.873333333333
"(2, 7, 8)",0.873333333333
"(3, 4, 8)",0.873333333333
"(2, 4, 5, 8)",0.873333333333
"(1, 3, 8)",0.873333333333
"(6, 7, 8)",0.873333333333
"(4, 5, 6, 8)",0.873333333333
"(0, 1, 6, 8)",0.873333333333
"(0, 6, 7, 8)",0.873333333333
"(0, 2, 6, 8)",0.873333333333
"(1, 4, 8)",0.873333333333
"(3, 8)",0.873333333333
"(1, 8)",0.873333333333
"(1, 7, 8)",0.873333333333
"(1, 6)",0.87
"(3, 5, 6)",0.87
"(0, 1, 5)",0.87
"(2, 3, 6)",0.866666666667
"(2, 5, 6)",0.866666666667
"(0, 6)",0.866666666667
"(3, 5, 7)",0.866666666667
"(3, 7)",0.863333333333
"(2, 3, 5, 6)",0.863333333333
"(2, 3, 7)",0.863333333333
"(1, 2)",0.863333333333
"(2, 5, 7)",0.86
"(0, 1)",0.86
"(1, 3, 5)",0.86
"(2, 7)",0.86
"(5, 7)",0.86
"(1, 3)",0.86
"(4, 7)",0.86
"(4, 5, 7)",0.86
"(2, 3, 5, 7)",0.856666666667
"(1, 7)",0.856666666667
"(1, 2, 3)",0.856666666667
"(0, 1, 3, 5)",0.856666666667
"(0, 7)",0.853333333333
"(1, 2, 3, 5)",0.853333333333
"(1, 2, 5)",0.853333333333
"(0, 1, 3)",0.853333333333
"(0, 1, 2, 5)",0.85
"(6, 7)",0.85
"(2, 3, 6, 7)",0.85
"(3, 4, 7)",0.85
"(0, 1, 2, 3)",0.85
"(3, 5, 6, 7)",0.85
"(1, 3, 4)",0.85
"(1, 2, 3, 4)",0.85
"(0, 1, 2)",0.846666666667
"(4, 6, 7)",0.846666666667
"(3, 6, 7)",0.846666666667
"(2, 6, 7)",0.843333333333
"(0, 2, 3)",0.843333333333
"(0, 2, 5)",0.843333333333
"(1, 5, 7)",0.843333333333
"(1, 5, 6)",0.843333333333
"(0, 2, 3, 5)",0.843333333333
"(0, 2)",0.843333333333
"(5, 6, 7)",0.843333333333
"(4, 5, 6, 7)",0.843333333333
"(1, 5, 6, 7)",0.84
"(2, 5, 6, 7)",0.84
"(0, 1, 2, 4)",0.84
"(3, 4, 6)",0.84
"(0, 3, 5)",0.84
"(0, 3)",0.84
