category,combination,rate,trend
511900,"(3, 8, 10)",1.0,1
511880,"(2, 6, 8, 10)",1.0,1
511910,"(3, 8, 10)",1.0,1
512090,"(3, 5, 11)",1.0,1
511920,"(1, 2, 8)",1.0,1
511930,"(1, 2, 8)",1.0,1
511950,"(3, 8, 10)",1.0,1
511960,"(1, 2, 8)",1.0,1
511970,"(3, 8, 10)",1.0,1
511980,"(3, 8, 10)",1.0,1
511990,"(1, 2, 8)",1.0,1
512000,"(1, 2, 8)",1.0,1
512010,"(3, 8, 10)",1.0,1
511700,"(3, 8, 10)",1.0,1
511690,"(3, 8, 10)",1.0,1
511680,"(1, 2, 8)",1.0,1
510650,"(3, 8, 10)",1.0,1
510660,"(3, 8, 10)",1.0,1
510680,"(1, 2, 8)",1.0,1
510710,"(3, 8, 10)",1.0,1
