heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
A.DCE,2010/1/4,0.416666666667,0.453736654804,0.436416184971,0.43701951508,0.427662037037,321838,13095756600.0,0,31,1.0,1.015354136,4069.052318,284296,0.41097489784,0.436077057793,43,1.0,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,0.349432448503,0.350810965331,1.0,1
A.DCE,2010/1/5,0.427662037037,0.446026097272,0.431791907514,0.443524541691,0.43287037037,253640,10324152000.0,0,-3,0.0,0.542272615,4070.395837,283384,0.436077057793,0.436660828955,1,1.0,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,0.314367617171,0.321013260651,0.0,1
A.DCE,2010/1/6,0.43287037037,0.445432977461,0.496531791908,0.441750443525,0.483796296296,860812,35642430200.0,0,84,1.0,3.36940482,4140.55917,352830,0.436660828955,0.477524810274,70,1.0,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,0.626578627404,0.592526058059,1.0,1
A.DCE,2010/1/7,0.483796296296,0.504151838671,0.493063583815,0.393258426966,0.420138888889,705704,28863794600.0,0,-96,0.0,5.127587867,4090.070993,297236,0.477524810274,0.448336252189,-50,0.0,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,0.0717182743595,0.11554453357,0.0,0
A.DCE,2010/1/8,0.420138888889,0.430011862396,0.413294797688,0.37670017741,0.383680555556,526594,21064926300.0,0,-109,0.0,2.546983185,4000.22148,270074,0.448336252189,0.395796847636,-90,0.0,2010/1/8,2010/1/8,-17.7369765138,0.0,0.0,0.0,0.0,0.0,0.19788421772,0.223978173256,0.0,0
A.DCE,2010/1/11,0.383680555556,0.413404507711,0.413294797688,0.415138971023,0.412615740741,316116,12757455100.0,0,31,1.0,0.954534037,4035.68788,270738,0.395796847636,0.416228838295,35,1.0,2010/1/11,2010/1/11,-17.8886530419,0.0,0.0,0.0,0.0,0.0,0.321361058601,0.326946273168,1.0,1
A.DCE,2010/1/12,0.412615740741,0.406287069988,0.401156069364,0.3968066233,0.396990740741,447848,17933786900.0,0,-31,0.0,1.190771521,4004.436081,271068,0.416228838295,0.398131932283,-31,0.0,2010/1/12,2010/1/12,-18.2498670415,0.0,0.0,0.0,0.0,0.0,0.319878946014,0.325686902709,0.0,0
A.DCE,2010/1/13,0.396990740741,0.349940688019,0.348554913295,0.346540508575,0.342013888889,300960,11789933400.0,0,-95,0.0,1.048951049,3917.441986,260966,0.398131932283,0.347343841214,-87,0.0,2010/1/13,2010/1/13,-19.6701649545,0.0,0.0,0.0,0.0,0.0,0.273587333706,0.287764434283,0.0,0
A.DCE,2010/1/14,0.342013888889,0.372479240807,0.351445086705,0.359550561798,0.347800925926,190364,7483760800.0,0,2,1.0,0.639549757,3931.28995,259500,0.347343841214,0.355516637478,14,1.0,2010/1/14,2010/1/14,-20.390046853,0.0,0.0,0.0,0.0,0.0,0.31190926276,0.319120333735,1.0,1
A.DCE,2010/1/15,0.347800925926,0.349940688019,0.354913294798,0.350088704908,0.345486111111,313576,12320233800.0,0,-16,0.0,1.199285532,3928.946667,265124,0.355516637478,0.353765323993,-3,0.0,2010/1/15,2010/1/15,-20.768736868,-19.3447975995,0.0,0.0,0.0,0.0,0.343370874269,0.344919123883,0.0,0
A.DCE,2010/1/18,0.345486111111,0.35172004745,0.341040462428,0.342992312241,0.342013888889,249986,9769774500.0,0,-19,0.0,0.893997446,3908.128655,269332,0.353765323993,0.342089900759,-20,0.0,2010/1/18,2010/1/18,-21.4660368894,-19.7740042082,0.0,0.0,0.0,0.0,0.337087426893,0.339744270105,0.0,0
A.DCE,2010/1/19,0.342013888889,0.367734282325,0.346820809249,0.354819633353,0.347800925926,167968,6587240300.0,0,11,1.0,0.639549757,3921.723364,274202,0.342089900759,0.349678925861,13,1.0,2010/1/19,2010/1/19,-21.9496937712,-20.1991475534,0.0,0.0,0.0,0.0,0.34002502729,0.342194181944,1.0,1
A.DCE,2010/1/20,0.347800925926,0.35290628707,0.343352601156,0.324068598462,0.314236111111,335400,13017966600.0,0,-60,0.0,1.811686655,3881.32576,290088,0.349678925861,0.326328079393,-40,0.0,2010/1/20,2010/1/20,-22.2220000831,-21.0428927752,0.0,0.0,0.0,0.0,0.388908117895,0.381455019548,0.0,0
A.DCE,2010/1/21,0.314236111111,0.32325029656,0.328323699422,0.320520402129,0.337384259259,271388,10524803900.0,0,20,1.0,1.320901321,3878.139011,280512,0.326328079393,0.324576765908,-3,0.0,2010/1/21,2010/1/21,-22.3239593858,-21.4528309851,0.0,0.0,0.0,0.0,0.275921439158,0.289746271231,1.0,1
A.DCE,2010/1/22,0.337384259259,0.339264531435,0.322543352601,0.311649911295,0.330439814815,280556,10864130300.0,0,11,1.0,1.435529351,3872.357141,270304,0.324576765908,0.321074138938,-6,0.0,2010/1/22,2010/1/22,-22.4710821368,-21.7158958681,0.0,0.0,0.0,0.0,0.273116962645,0.287569112844,1.0,0
A.DCE,2010/1/25,0.330439814815,0.333926453144,0.34161849711,0.334121821407,0.343171296296,337600,13190981800.0,0,39,1.0,1.311391103,3907.281339,277594,0.321074138938,0.341506129597,35,1.0,2010/1/25,2010/1/25,-22.4597714093,-22.0582116962,0.0,0.0,0.0,0.0,0.350763687354,0.350952916591,1.0,1
A.DCE,2010/1/26,0.343171296296,0.35290628707,0.343930635838,0.338852749852,0.328125,470020,18349985000.0,0,-22,0.0,1.201738686,3904.085996,278582,0.341506129597,0.339754816112,-3,0.0,2010/1/26,2010/1/26,-22.6519073589,-22.3967440216,0.0,0.0,0.0,0.0,0.32279879656,0.328025864716,0.0,0
A.DCE,2010/1/27,0.328125,0.349940688019,0.348554913295,0.348905972797,0.349537037037,618382,24246125800.0,0,18,1.0,0.978120978,3920.89773,296746,0.339754816112,0.349095154699,16,1.0,2010/1/27,2010/1/27,-22.306972115,-22.3598073494,0.0,0.0,0.0,0.0,0.399016658235,0.390657655741,1.0,1
