heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
AG,20120510,0.700424929178,0.702587230002,0.703529411765,0.69421101774,0.695775984813,6140.0,6126.0,-26,-40.0,0.576537559295,2389296.08,33726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61073800245,0.0
AG,20120511,0.694287063267,0.693092807975,0.684705882353,0.675303454715,0.676317038443,6002.0,6056.0,-124,-70.0,0.542688487283,1878753.82,55020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577145177753,0.0
AG,20120514,0.661709159585,0.676477569428,0.668235294118,0.658963585434,0.666824869483,5976.0,5999.0,-80,-57.0,0.5558039687,1868733.84,57028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59102420662,0.0
AG,20120515,0.655571293673,0.662948018039,0.634117647059,0.627450980392,0.607736117703,5842.0,5813.0,-157,-186.0,0.406810022034,3882019.26,82238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439193227063,0.0
AG,20120516,0.623937677054,0.618798955614,0.6,0.598506069094,0.59159943047,5647.0,5704.0,-166,-109.0,0.492692329487,5126826.62,108376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0289151029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526660400601,0.0
AG,20120517,0.57790368272,0.59292665559,0.589411764706,0.598739495798,0.602990033223,5763.0,5748.0,59,44.0,0.67490578868,4813684.66,89738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0224736325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705171587521,1.0
AG,20120518,0.605288007554,0.60337051982,0.613647058824,0.620681605976,0.621262458472,5863.0,5827.0,115,79.0,0.715664067325,6080604.45,92162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3918784932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74453846282,1.0
AG,20120521,0.628895184136,0.622122003323,0.648705882353,0.640056022409,0.653298528714,5940.0,5932.0,113,105.0,0.744603444889,3610778.43,97686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2330886625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771540789245,1.0
AG,20120522,0.647072710104,0.647044861144,0.64,0.632119514472,0.648315140009,5890.0,5903.0,-42,-29.0,0.587594703236,3286240.25,90716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.704881742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621604694354,0.0
AG,20120523,0.635269121813,0.640161405174,0.611764705882,0.605975723623,0.619126720456,5791.0,5791.0,-112,-112.0,0.49023096812,2607478.55,90202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0171446741,29.7337513326,0.0,0.0,0.0,0.0,0.0,0.0,0.525790173817,0.0
AG,20120524,0.611898016997,0.613577023499,0.608235294118,0.610644257703,0.620787850024,5832.0,5804.0,41,13.0,0.636693047822,2623008.79,85938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2157120376,29.3224052942,0.0,0.0,0.0,0.0,0.0,0.0,0.66902441338,0.0
AG,20120525,0.621576959396,0.616662710657,0.625411764706,0.6279178338,0.629805410536,5904.0,5849.0,100,45.0,0.67438429867,3687852.69,92544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3101005044,29.06136345,0.0,0.0,0.0,0.0,0.0,0.0,0.705315252744,0.0
AG,20120528,0.638574126534,0.627343935438,0.644705882353,0.646591970121,0.656383483626,5986.0,5955.0,137,106.0,0.744913515232,3407380.26,94920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3440383271,29.0021374212,0.0,0.0,0.0,0.0,0.0,0.0,0.77239842384,1.0
