heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
AL,20100104,0.870254957507,0.860845070423,0.883959044369,0.860766629087,0.862711864407,17200.0,17300.0,-110,-10.0,0.505961926972,1141091.14,127660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520006790939,0.0
AL,20100105,0.848725212465,0.859718309859,0.862343572241,0.874295377678,0.868926553672,17540.0,17425.0,240,125.0,0.589392392125,1881216.18,146912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60125057084,1.0
AL,20100106,0.887252124646,0.873802816901,0.893060295791,0.95603156708,0.900564971751,18160.0,18035.0,735,610.0,0.882053398837,3879222.22,164378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887191664884,0.0
AL,20100107,0.957507082153,0.942535211268,0.993174061433,1.0,0.864406779661,17835.0,18040.0,-200,5.0,0.515008429301,4473927.52,159386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529057990141,0.0
AL,20100108,0.920679886686,0.943098591549,0.921501706485,0.910372040586,0.877966101695,17500.0,17575.0,-540,-465.0,0.234714933071,3131055.1,145602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69007052669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247561574033,0.0
AL,20100111,0.882719546742,0.890704225352,0.921501706485,0.95321307779,0.926553672316,18260.0,17985.0,685,410.0,0.761318836258,3016182.56,163544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3781385396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.765636804427,1.0
AL,20100112,0.968838526912,0.936901408451,0.968145620023,0.959413754228,0.950282485876,18255.0,18160.0,270,175.0,0.614034323648,4727872.07,175814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2444311686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627112705804,0.0
AL,20100113,0.968271954674,0.95661971831,0.890784982935,0.882187147689,0.870056497175,17410.0,17470.0,-750,-690.0,0.109975548844,3268764.0,149034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9209768161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111135777118,0.0
AL,20100114,0.872521246459,0.878873239437,0.926052332196,0.901916572717,0.90395480226,17600.0,17650.0,130,180.0,0.62206723797,1610473.63,148542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3399417984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632429063292,1.0
AL,20100115,0.894050991501,0.899154929577,0.911262798635,0.903043968433,0.894350282486,17590.0,17650.0,-60,0.0,0.512079390472,1971162.81,141990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5126702829,10.7845481674,0.0,0.0,0.0,0.0,0.0,0.0,0.526042678359,0.0
AL,20100118,0.892917847025,0.899154929577,0.879408418658,0.890642615558,0.881355932203,17665.0,17585.0,15,-65.0,0.472767992702,943402.46,139062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.034978683,10.8846374403,0.0,0.0,0.0,0.0,0.0,0.0,0.487182521902,0.0
AL,20100119,0.901416430595,0.891830985915,0.906712172924,0.906989853439,0.910734463277,17735.0,17720.0,150,135.0,0.593379493427,1308835.13,123694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6139391203,11.1084959934,0.0,0.0,0.0,0.0,0.0,0.0,0.605560610879,0.0
AL,20100120,0.909348441926,0.907042253521,0.916951080774,0.897970687711,0.887570621469,17410.0,17570.0,-310,-150.0,0.422102488633,626076.01,115292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8007487025,11.0390051294,0.0,0.0,0.0,0.0,0.0,0.0,0.436648775477,0.0
