heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
AP.CZC,2017/12/22,0.0,0.879120879121,1.0,0.893011750155,1.0,735694,59859534500.0,0,317,1.0,0.0,8136.471753,21646,0.792079207921,1.0,336,1.0,2017/12/22,2017/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.285599588927,0.275995022016,1.0,1
AP.CZC,2017/12/25,1.0,1.0,0.955763239875,0.982683982684,0.986552567237,358024,29012574500.0,0,-41,0.0,1.195022792,8103.527836,25296,1.0,0.980198019802,-32,0.0,2017/12/25,2017/12/25,0.0,0.0,0.0,0.0,0.0,0.0,0.344209647376,0.343879678119,0.0,0
AP.CZC,2017/12/26,0.997289639029,0.992063492063,0.947663551402,0.994434137291,0.983496332518,146420,11866651000.0,0,-14,0.0,0.802964793,8104.528753,21018,0.980198019802,0.980816831683,1,1.0,2017/12/26,2017/12/26,0.0,0.0,0.0,0.0,0.0,0.0,0.216905388914,0.196479629604,0.0,0
AP.CZC,2017/12/27,0.996673647899,0.985347985348,0.925856697819,0.987012987013,0.981051344743,67888,5490342400.0,0,-19,0.0,0.519159456,8087.353288,17524,0.980816831683,0.969678217822,-18,0.0,2017/12/27,2017/12/27,0.0,0.0,0.0,0.0,0.0,0.0,0.229494508318,0.211083985764,0.0,0
AP.CZC,2017/12/28,0.996180854996,0.984126984127,0.948286604361,1.0,0.992053789731,71176,5776067600.0,0,17,0.197468354434,0.704922088,8115.189952,15558,0.969678217822,0.987004950495,28,1.0,2017/12/28,2017/12/28,14.937318846,0.0,0.0,0.0,0.0,0.0,0.254030445115,0.239389647838,1.0,1
AP.CZC,2017/12/29,0.998398423063,0.992673992674,0.933956386293,0.993815708101,0.982273838631,25762,2085548900.0,0,-27,0.0,0.542941757,8095.446394,13754,0.987004950495,0.974628712871,-20,0.0,2017/12/29,2017/12/29,14.7812936461,0.0,0.0,0.0,0.0,0.0,0.256631768257,0.242472276476,0.0,0
AP.CZC,2018/1/2,0.996427251448,0.981684981685,0.923987538941,0.99876314162,0.9902200489,16426,1330130900.0,0,6,0.197468354434,0.247279921,8097.716425,12360,0.974628712871,0.976485148515,3,1.0,2018/1/2,2018/1/2,14.8136166959,0.0,0.0,0.0,0.0,0.0,0.263215363864,0.250049446373,1.0,1
AP.CZC,2018/1/3,0.998028828385,0.990842490842,0.933956386293,1.0,0.985941320293,20154,1632484300.0,0,-4,0.0,0.419701271,8100.051106,11852,0.976485148515,0.977722772277,2,1.0,2018/1/3,2018/1/3,14.8351532401,0.0,0.0,0.0,0.0,0.0,0.277442353395,0.266548132917,0.0,0
AP.CZC,2018/1/4,0.997166440803,0.98778998779,0.928971962617,0.992578849722,0.984718826406,16652,1347790500.0,0,-8,0.0,0.469483568,8093.865602,11252,0.977722772277,0.97400990099,-6,0.0,2018/1/4,2018/1/4,14.8674398094,0.0,0.0,0.0,0.0,0.0,0.275965058771,0.264840036026,0.0,0
AP.CZC,2018/1/5,0.996920044351,0.98778998779,0.927102803738,0.996289424861,0.988997555012,9538,772258300.0,0,5,0.197468354434,0.358378646,8096.648144,10090,0.97400990099,0.975866336634,3,1.0,2018/1/5,2018/1/5,14.8405358559,16.9886053997,0.0,0.0,0.0,0.0,0.266940715524,0.254372844342,1.0,1
AP.CZC,2018/1/8,0.997782431933,0.990842490842,0.922118380062,0.995052566481,0.979828850856,6932,560619600.0,0,-13,0.0,0.283985677,8087.414887,9794,0.975866336634,0.969678217822,-10,0.0,2018/1/8,2018/1/8,14.8190017439,16.9007240362,0.0,0.0,0.0,0.0,0.28084655405,0.270497336154,0.0,0
AP.CZC,2018/1/9,0.995934458544,0.980463980464,0.914018691589,0.904143475572,0.907701711491,71128,5681636200.0,0,-121,0.0,1.942107867,7987.903779,15934,0.969678217822,0.908415841584,-99,0.0,2018/1/9,2018/1/9,14.0865569704,16.5553963246,0.0,0.0,0.0,0.0,0.384192947524,0.388370247954,0.0,0
AP.CZC,2018/1/10,0.981397067882,0.901098901099,0.845482866044,0.904143475572,0.890586797066,30192,2402566600.0,0,-50,0.0,0.590007532,7957.626524,16004,0.908415841584,0.889851485149,-30,0.0,2018/1/10,2018/1/10,13.2266628691,16.1448587475,0.0,0.0,0.0,0.0,0.286723617445,0.277271669634,0.0,0
AP.CZC,2018/1/11,0.977947517556,0.885836385836,0.828660436137,0.855287569573,0.845965770171,43240,3414928000.0,0,-93,0.0,1.247165533,7897.613321,20238,0.889851485149,0.852722772277,-60,0.0,2018/1/11,2018/1/11,11.9502403418,15.5410038055,0.0,0.0,0.0,0.0,0.353587256728,0.352503838754,0.0,0
AP.CZC,2018/1/12,0.968954047062,0.818681318681,0.767601246106,0.811997526283,0.798288508557,38852,3037200400.0,0,-111,0.0,0.90273363,7817.359209,24070,0.852722772277,0.802599009901,-81,0.0,2018/1/12,2018/1/12,10.1492110484,14.6606633044,0.0,0.0,0.0,0.0,0.347132121524,0.344552933632,0.0,0
AP.CZC,2018/1/15,0.959344585438,0.783272283272,0.730218068536,0.795918367347,0.79217603912,26164,2034636800.0,0,-40,0.0,0.475150893,7776.474545,25024,0.802599009901,0.777227722772,-41,0.0,2018/1/15,2018/1/15,8.32739816556,13.7810697008,0.0,0.0,0.0,0.0,0.300918491875,0.293041017866,0.0,0
AP.CZC,2018/1/16,0.958112603179,0.783882783883,0.742679127726,0.766852195424,0.759168704156,44712,3474366300.0,0,-53,0.0,1.337276585,7770.545491,28730,0.777227722772,0.774133663366,-5,0.0,2018/1/16,2018/1/16,6.85287244859,12.6913070794,0.0,0.0,0.0,0.0,0.345108870191,0.341753742546,0.0,0
AP.CZC,2018/1/17,0.951459898977,0.766788766789,0.698442367601,0.734075448361,0.726772616137,88156,6778643900.0,0,-101,0.0,1.113556908,7689.37327,31314,0.774133663366,0.723391089109,-82,0.0,2018/1/17,2018/1/17,5.1958878367,11.4427980693,0.0,0.0,0.0,0.0,0.327092298799,0.321530487237,0.0,0
AP.CZC,2018/1/18,0.944930393002,0.725274725275,0.676012461059,0.73902288188,0.727383863081,48086,3696352200.0,0,-18,0.0,0.547588005,7686.961278,32514,0.723391089109,0.722153465347,-2,0.0,2018/1/18,2018/1/18,3.97783167245,10.1768665709,0.0,0.0,0.0,0.0,0.304868649239,0.297144279933,0.0,1
AP.CZC,2018/1/19,0.945053591228,0.726495726496,0.671651090343,0.723562152134,0.718826405868,57942,4445659500.0,0,-30,0.0,0.782166601,7672.602775,31622,0.722153465347,0.71349009901,-14,0.0,2018/1/19,2018/1/19,3.15350340295,8.82095708717,20.9215974471,0.0,0.0,0.0,0.271276254095,0.260302765233,0.0,0
AP.CZC,2018/1/22,0.943328816065,0.733821733822,0.676012461059,0.73964131107,0.743276283619,41406,3182426500.0,0,24,0.197468354434,0.535457751,7685.906632,30488,0.71349009901,0.721534653465,13,1.0,2018/1/22,2018/1/22,2.64317045981,7.61236352764,20.2589811918,0.0,0.0,0.0,0.267390326932,0.255941232799,1.0,1
