heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
AU,20100104,0.165782044043,0.152133265341,0.152022792023,0.154980928876,0.159015455066,245.96,246.01,0.36,0.41,0.635369567745,1420800.81,101232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663244912501,0.0
AU,20100105,0.157029926595,0.154456343136,0.178347578348,0.187794480592,0.188380080137,253.23,251.4,7.22,5.39,0.796928438153,1880495.34,106498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815954348318,1.0
AU,20100106,0.198080180689,0.184996317072,0.184102564103,0.187009199013,0.193417286777,251.1,252.17,-0.3,0.77,0.646408974209,1863642.2,109054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673956023596,0.0
AU,20100107,0.186053077357,0.189359170491,0.207407407407,0.200246802782,0.196908986835,252.36,253.19,0.19,1.02,0.654554954119,2195180.34,100124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68153263561,1.0
AU,20100108,0.193167701863,0.195138534761,0.185299145299,0.176239623065,0.184315970235,249.56,249.93,-3.63,-3.26,0.519134461167,1342524.01,91082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0631835035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549961660696,0.0
AU,20100111,0.177357425184,0.176667233271,0.221082621083,0.216737715952,0.228162564396,256.85,257.41,6.92,7.48,0.861197617486,1320602.7,93998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.1768654986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873932320549,1.0
AU,20100112,0.218520609825,0.219049237917,0.217378917379,0.211465111061,0.220835718374,257.15,256.53,-0.26,-0.88,0.594834585601,980835.5,94330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.7593881256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623955220272,0.0
AU,20100113,0.220214568041,0.214063119723,0.184045584046,0.175005609154,0.186033199771,250.72,250.34,-5.81,-6.19,0.430182963127,1233021.51,83830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.854448158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459931952887,0.0
AU,20100114,0.183907396951,0.178990311066,0.202735042735,0.193964550146,0.203835145965,252.97,253.12,2.63,2.78,0.710588294697,683800.53,81238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.765284642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73486798039,1.0
AU,20100115,0.196612083569,0.194741911723,0.196695156695,0.18930895221,0.200400686892,252.21,252.62,-0.91,-0.5,0.606395490961,638394.01,78682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.5580661319,-18.1616464793,0.0,0.0,0.0,0.0,0.0,0.0,0.635155832309,0.0
