heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
B.DCE,2010/1/4,0.533305921053,0.56004852406,0.535775127768,0.564672594988,0.550164473684,34,1399600,0,42,1.0,1.101591187,4116.470588,92,0.544256895842,0.557431041581,32,1.0,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,0.392561623552,0.378975240802,1.0,1
B.DCE,2010/1/5,0.550164473684,0.574605742014,0.543015332198,0.564672594988,0.548519736842,58,2395300,0,6,1.0,1.50266602,4129.827586,90,0.557431041581,0.562783038287,13,1.0,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,0.392300322272,0.378675070214,1.0,0
B.DCE,2010/1/6,0.548519736842,0.570966437525,0.586882453152,0.575586095392,0.588815789474,72,3015400,0,91,1.0,3.347889374,4188.055556,110,0.562783038287,0.587072869494,59,1.0,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,0.393258426966,0.379798757138,1.0,1
B.DCE,2010/1/7,0.588815789474,0.602507076425,0.581345826235,0.538803556993,0.527138157895,204,8455600,0,-118,0.0,5.118483412,4144.901961,152,0.587072869494,0.568958419103,-44,0.0,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,0.394216531661,0.380848408128,0.0,0
B.DCE,2010/1/8,0.527138157895,0.545895673271,0.522998296422,0.530315278901,0.516858552632,70,2828500,0,-99,0.0,2.457002457,4040.714286,148,0.568958419103,0.526142445451,-104,0.0,2010/1/8,2010/1/8,-7.64756845097,0.0,0.0,0.0,0.0,0.0,0.392213221845,0.378578813798,0.0,0
B.DCE,2010/1/11,0.516858552632,0.560857258391,0.522572402044,0.555375909458,0.538651315789,72,2937600,0,58,1.0,0.914709518,4080.0,130,0.526142445451,0.54219843557,39,1.0,2010/1/11,2010/1/11,-7.73380152911,0.0,0.0,0.0,0.0,0.0,0.391603518857,0.377880372584,1.0,1
B.DCE,2010/1/12,0.538651315789,0.543873837444,0.512350936968,0.546483427648,0.515625,58,2354700,0,-37,0.0,0.854075159,4059.827586,130,0.54219843557,0.533964594483,-20,0.0,2010/1/12,2010/1/12,-7.98023885404,0.0,0.0,0.0,0.0,0.0,0.392387422698,0.378775062388,0.0,0
B.DCE,2010/1/13,0.515625,0.521229276183,0.476149914821,0.5,0.488075657895,48,1902700,0,-84,0.0,1.608114795,3963.958333,128,0.533964594483,0.494442157266,-96,0.0,2010/1/13,2010/1/13,-8.73539330883,0.0,0.0,0.0,0.0,0.0,0.392300322272,0.378678636165,0.0,0
B.DCE,2010/1/14,0.488075657895,0.529720986656,0.484667802385,0.520210185934,0.488075657895,52,2072000,0,12,1.0,0.880503145,3984.615385,126,0.494442157266,0.503087690408,21,1.0,2010/1/14,2010/1/14,-9.02834524715,0.0,0.0,0.0,0.0,0.0,0.392300322272,0.378678636165,1.0,0
B.DCE,2010/1/15,0.488075657895,0.520824909017,0.480408858603,0.517380759903,0.485197368421,112,4466000,0,-16,0.0,0.805031447,3987.5,130,0.503087690408,0.504322766571,3,1.0,2010/1/15,2010/1/15,-9.26582970084,-8.50990981516,0.0,0.0,0.0,0.0,0.392561623552,0.378967575221,0.0,0
