heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
BU,20131009,0.959918478261,0.974341192788,1.0,1.0,0.981985940246,4476.0,4532.0,18,74.0,0.681999798018,1444431.3,65246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692680972581,1.0
BU,20131010,0.966032608696,1.0,0.969986950848,0.970802919708,0.978031634446,4502.0,4494.0,-30,-38.0,0.487501258359,921073.73,54008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505509019105,0.0
BU,20131011,0.974864130435,0.986823855756,0.980861244019,0.971232288536,0.978910369069,4466.0,4492.0,-28,-2.0,0.549872313731,809156.86,60936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56583493584,0.0
BU,20131014,0.962635869565,0.98613037448,0.973466724663,0.963933018463,0.974077328647,4444.0,4456.0,-48,-36.0,0.490825592859,664122.62,67386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508615408539,0.0
BU,20131015,0.955163043478,0.973647711512,0.967377120487,0.964791756119,0.974516695958,4442.0,4462.0,-14,6.0,0.563782926414,899332.13,63700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09504423109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579273280919,0.0
BU,20131016,0.954483695652,0.97572815534,0.963027403219,0.962644911979,0.972759226714,4432.0,4452.0,-30,-10.0,0.535863950844,918818.82,67078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01532307728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55233601636,0.0
BU,20131017,0.951086956522,0.97226074896,0.967377120487,0.957492486046,0.968365553603,4410.0,4434.0,-42,-18.0,0.521831226462,633465.31,73002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9317096634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538720678853,0.0
BU,20131018,0.943614130435,0.966019417476,0.959547629404,0.951051953628,0.96704745167,4404.0,4414.0,-30,-20.0,0.518158369659,391792.92,75164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82895943618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535289819893,0.0
BU,20131021,0.941576086957,0.959084604716,0.959112657677,0.958780592529,0.967926186292,4452.0,4448.0,38,34.0,0.613166090982,689381.82,58838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7756237065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626749637391,1.0
BU,20131022,0.957880434783,0.970873786408,0.966507177033,0.956204379562,0.972759226714,4440.0,4436.0,-8,-12.0,0.532420531077,256906.35,56140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76037769025,8.9359433364,0.0,0.0,0.0,0.0,0.0,0.0,0.548966579591,0.0
BU,20131023,0.953804347826,0.966712898752,0.963897346672,0.954057535423,0.968365553603,4436.0,4426.0,0,-10.0,0.535856089446,377453.06,54076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7222486009,8.87709901672,0.0,0.0,0.0,0.0,0.0,0.0,0.552259577232,0.0
BU,20131024,0.952445652174,0.963245492372,0.964332318399,0.962215543152,0.972319859402,4458.0,4458.0,32,32.0,0.609239169753,718463.39,53534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75656568419,8.85240799023,0.0,0.0,0.0,0.0,0.0,0.0,0.623118549556,0.0
BU,20131025,0.959918478261,0.974341192788,0.969986950848,0.958351223701,0.967926186292,4406.0,4420.0,-52,-38.0,0.487235518126,510926.61,40222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76418949554,8.80490141565,0.0,0.0,0.0,0.0,0.0,0.0,0.504844241,0.0
BU,20131028,0.942255434783,0.961165048544,0.959112657677,0.947187634178,0.933655536028,4268.0,4306.0,-152,-114.0,0.352734370425,1530347.04,93932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.46626835889,8.62980817266,0.0,0.0,0.0,0.0,0.0,0.0,0.369081467784,0.0
BU,20131029,0.895380434783,0.921636615811,0.927794693345,0.920566766853,0.933216168717,4270.0,4264.0,-36,-42.0,0.477028255734,988547.33,92778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12101621391,8.4504741173,0.0,0.0,0.0,0.0,0.0,0.0,0.49542680042,0.0
BU,20131030,0.896059782609,0.907073509015,0.928664636799,0.929154143409,0.928822495606,4316.0,4278.0,52,14.0,0.578733678656,1674866.32,60394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77418413702,8.25921506859,0.0,0.0,0.0,0.0,0.0,0.0,0.59388496513,0.0
BU,20131031,0.911684782609,0.911927877947,0.936929099609,0.928295405754,0.942003514938,4292.0,4304.0,14,26.0,0.60001694225,554643.62,53198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.50722548897,8.14422476555,0.0,0.0,0.0,0.0,0.0,0.0,0.614416002954,0.0
BU,20131101,0.903532608696,0.920943134535,0.93257938234,0.931730356376,0.934973637961,4310.0,4306.0,6,2.0,0.556928704188,824498.14,42912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21603034854,8.00408397414,0.0,0.0,0.0,0.0,0.0,0.0,0.572688807822,0.0
BU,20131104,0.90964673913,0.921636615811,0.930839495433,0.93087161872,0.939367311072,4314.0,4314.0,8,8.0,0.56770570175,404414.76,42202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26657986662,7.87908439106,0.0,0.0,0.0,0.0,0.0,0.0,0.583140043998,0.0
BU,20131105,0.911005434783,0.924410540915,0.937364071335,0.930012881065,0.936731107206,4308.0,4296.0,-6,-18.0,0.520970022596,541100.66,39746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2976715394,7.72110334455,8.77266900748,0.0,0.0,0.0,0.0,0.0,0.537691925787,0.0
BU,20131106,0.908967391304,0.918169209431,0.935189212701,0.926577930442,0.94244288225,4308.0,4304.0,12,8.0,0.567712382087,306283.93,41692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41803824494,7.60723566992,8.68573616565,0.0,0.0,0.0,0.0,0.0,0.583094497189,0.0
BU,20131107,0.908967391304,0.920943134535,0.937799043062,0.928295405754,0.937609841828,4274.0,4292.0,-30,-12.0,0.531722066737,486358.17,61360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37923003114,7.45451056062,8.59676401061,0.0,0.0,0.0,0.0,0.0,0.548208693158,0.0
BU,20131108,0.897418478261,0.916782246879,0.929099608525,0.919708029197,0.934094903339,4260.0,4266.0,-32,-26.0,0.506156648533,440582.97,67934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37146612785,7.3053693024,8.49799447378,0.0,0.0,0.0,0.0,0.0,0.523567429232,0.0
BU,20131111,0.892663043478,0.907766990291,0.926924749891,0.920137398025,0.93453427065,4278.0,4272.0,12,6.0,0.564235007956,262623.84,63250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.32875121048,7.30924661324,8.4107348713,0.0,0.0,0.0,0.0,0.0,0.579704967494,0.0
BU,20131112,0.898777173913,0.909847434119,0.929099608525,0.924860455131,0.937609841828,4304.0,4290.0,32,18.0,0.585934687614,378042.98,50388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33651925083,7.32863036373,8.32919989749,0.0,0.0,0.0,0.0,0.0,0.600644960779,0.0
BU,20131113,0.907608695652,0.916088765603,0.930839495433,0.920996135681,0.936291739895,4286.0,4274.0,-4,-16.0,0.524497245068,278983.74,52474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28212720207,7.36157200533,8.24854801807,0.0,0.0,0.0,0.0,0.0,0.541177820546,0.0
BU,20131114,0.901494565217,0.910540915395,0.934754240974,0.923572348647,0.936731107206,4266.0,4284.0,-8,10.0,0.571403782606,220866.85,56440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27435390897,7.33832048568,8.17851469272,0.0,0.0,0.0,0.0,0.0,0.586678352662,0.0
BU,20131115,0.894701086957,0.914008321775,0.927794693345,0.919708029197,0.932776801406,4270.0,4268.0,-14,-16.0,0.524240535641,451506.16,56028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26269256457,7.32863036373,8.10257186354,0.0,0.0,0.0,0.0,0.0,0.541072289205,0.0
BU,20131118,0.896059782609,0.908460471567,0.930404523706,0.926148561614,0.93848857645,4292.0,4294.0,24,26.0,0.600520040978,212976.78,51044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2976715394,7.32475398758,8.03727817682,0.0,0.0,0.0,0.0,0.0,0.6145854142,1.0
BU,20131119,0.903532608696,0.917475728155,0.930839495433,0.924431086303,0.936731107206,4296.0,4284.0,2,-10.0,0.535254014739,309445.55,53148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28989974565,7.32475398758,7.95729036789,16.1524539758,0.0,0.0,0.0,0.0,0.551688047751,0.0
BU,20131120,0.904891304348,0.914008321775,0.934319269247,0.928724774581,0.943760984183,4310.0,4310.0,26,26.0,0.600234356991,326124.87,52326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35593606305,7.33056848166,7.90261654224,16.0806989984,0.0,0.0,0.0,0.0,0.614331770546,0.0
BU,20131121,0.90964673913,0.923023578363,0.936494127882,0.925719192787,0.942003514938,4298.0,4300.0,-12,-10.0,0.535329448693,143374.1,50446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40251722109,7.3499470881,7.8351971708,16.0129600096,0.0,0.0,0.0,0.0,0.55178596838,0.0
BU,20131122,0.905570652174,0.919556171983,0.937799043062,0.933877200515,0.946397188049,4338.0,4322.0,38,22.0,0.592997713923,325729.89,50256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52272609527,7.40418226849,7.78728393853,15.9517399889,0.0,0.0,0.0,0.0,0.607279422619,1.0
BU,20131125,0.919157608696,0.927184466019,0.943018703784,0.937741519966,0.948154657293,4356.0,4338.0,34,16.0,0.581909391682,364509.48,51864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.60792514174,7.46418543427,7.8195552902,15.9028685317,0.0,0.0,0.0,0.0,0.596838188184,0.0
BU,20131126,0.92527173913,0.932732316227,0.948238364506,0.954057535423,0.955623901582,4370.0,4400.0,32,62.0,0.663656812291,975664.94,47304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77418413702,7.54347495753,7.86940276123,15.8672163495,0.0,0.0,0.0,0.0,0.675508682144,0.0
BU,20131127,0.930027173913,0.954230235784,0.949543279687,0.941176470588,0.951669595782,4336.0,4348.0,-64,-52.0,0.461069042177,333890.84,43306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84367572899,7.61109829807,7.92019451302,15.8273847353,0.0,0.0,0.0,0.0,0.479636451277,0.0
