heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
CF.CZC,2010/1/4,0.269222840651,0.267423014587,0.272158287906,0.273363524084,0.272933415791,498986,41703860500.0,0,85,1.0,1.906779661,16715.44312,265668,0.26604196374,0.273782847831,190,1.0,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,0.532023631575,0.439279199687,1.0,1
CF.CZC,2010/1/5,0.272933415791,0.269448946515,0.265495659196,0.271510909839,0.269428983715,275464,22832321200.0,0,-190,0.0,1.173991571,16577.35399,237418,0.273782847831,0.268079038501,-140,0.0,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,0.43874297103,0.355473139243,0.0,0
CF.CZC,2010/1/6,0.269428983715,0.254457050243,0.257419745609,0.259365994236,0.26097711812,300808,24593451500.0,0,-255,0.0,1.754916793,16351.59404,198944,0.268079038501,0.258912202078,-225,0.0,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,0.402356039576,0.324295697125,0.0,0
CF.CZC,2010/1/7,0.26097711812,0.259116693679,0.258227336967,0.239604775628,0.249226963513,313640,25391831700.0,0,-315,0.0,4.840686275,16191.70495,161464,0.258912202078,0.252393562844,-160,0.0,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,0.405893657912,0.329503514652,0.0,0
CF.CZC,2010/1/8,0.249226963513,0.2443273906,0.240662224914,0.243310004117,0.246134817563,190082,15161567900.0,0,-230,0.0,1.652634861,15952.66033,146278,0.252393562844,0.242819311469,-235,0.0,2010/1/8,2010/1/8,-9.57409106555,0.0,0.0,0.0,0.0,0.0,0.485237383444,0.398922661432,0.0,0
CF.CZC,2010/1/11,0.246134817563,0.245542949757,0.244700181708,0.250926307122,0.249433106576,116288,9346423900.0,0,85,1.0,1.127819549,16074.61458,139556,0.242819311469,0.247708290894,120,1.0,2010/1/11,2010/1/11,-10.0115112708,0.0,0.0,0.0,0.0,0.0,0.515360523881,0.424967223259,1.0,1
CF.CZC,2010/1/12,0.249433106576,0.281604538088,0.280234201494,0.283655825443,0.283858998145,284682,24107166600.0,0,-25,0.0,1.652119701,16936.20714,156324,0.281320024445,0.282745976777,35,1.0,2010/1/12,2010/1/12,-9.742916728,0.0,0.0,0.0,0.0,0.0,0.598960780127,0.500611164425,0.0,1
CF.CZC,2010/1/13,0.283858998145,0.267017828201,0.263880476479,0.267393989296,0.265306122449,234868,19418211600.0,0,-510,0.0,1.511111111,16535.42552,139172,0.282745976777,0.266449378692,-400,0.0,2010/1/13,2010/1/13,-9.66234008359,0.0,0.0,0.0,0.0,0.0,0.47824044416,0.391305044514,0.0,0
CF.CZC,2010/1/14,0.265306122449,0.266410048622,0.26327478296,0.270069987649,0.266955266955,163302,13501746000.0,0,-70,0.0,1.065449011,16535.9224,137380,0.266449378692,0.266449378692,0,1.0,2010/1/14,2010/1/14,-9.33237744939,0.0,0.0,0.0,0.0,0.0,0.532906256673,0.440126871394,0.0,1
CF.CZC,2010/1/15,0.266955266955,0.259319286872,0.259034928326,0.263894606834,0.261183261183,207254,16996454900.0,0,-210,0.0,1.336167628,16401.56996,134572,0.266449378692,0.260949276838,-135,0.0,2010/1/15,2010/1/15,-9.05232783468,-9.26495772841,0.0,0.0,0.0,0.0,0.52929034095,0.436964823177,0.0,0
CF.CZC,2010/1/18,0.261183261183,0.251215559157,0.253583686655,0.259777686291,0.2622139765,117020,9546215200.0,0,-50,0.0,1.13323124,16315.5276,130578,0.260949276838,0.257486249745,-85,0.0,2010/1/18,2010/1/18,-8.81451361459,-9.36384183301,0.0,0.0,0.0,0.0,0.525069399957,0.433197675121,0.0,1
CF.CZC,2010/1/19,0.2622139765,0.259319286872,0.256006460731,0.264512144916,0.262626262626,78302,6411430500.0,0,45,1.0,0.795107034,16376.16025,130046,0.257486249745,0.259930739458,60,1.0,2010/1/19,2010/1/19,-9.20961110873,-9.42659727307,0.0,0.0,0.0,0.0,0.537390561606,0.44415349396,1.0,1
CF.CZC,2010/1/20,0.262626262626,0.259319286872,0.254189380174,0.252367229312,0.249226963513,196942,15916025200.0,0,-340,0.0,2.322738386,16163.15992,142062,0.259930739458,0.251375025463,-210,0.0,2010/1/20,2010/1/20,-9.5088648459,-9.53499628702,0.0,0.0,0.0,0.0,0.58204854438,0.48313488661,0.0,0
CF.CZC,2010/1/21,0.249226963513,0.2443273906,0.249141934181,0.248456154796,0.257678829107,322974,26055956300.0,0,75,1.0,2.182725288,16135.01787,143352,0.251375025463,0.250152780607,-30,0.0,2010/1/21,2010/1/21,-9.68152488629,-9.45702467353,0.0,0.0,0.0,0.0,0.543875008897,0.449893485294,1.0,1
CF.CZC,2010/1/22,0.257678829107,0.247974068071,0.252776095296,0.252778921367,0.26035868893,361360,29333935100.0,0,170,1.0,2.062807882,16235.29727,153460,0.250152780607,0.254226930128,100,1.0,2010/1/22,2010/1/22,-9.69687278169,-9.32580898927,0.0,0.0,0.0,0.0,0.575258025482,0.477740903875,1.0,1
CF.CZC,2010/1/25,0.26035868893,0.254457050243,0.253179890975,0.259777686291,0.260152545867,221070,18018062700.0,0,65,1.0,1.073290402,16300.77595,155644,0.254226930128,0.256875127317,65,1.0,2010/1/25,2010/1/25,-9.73524271151,-9.22692654998,0.0,0.0,0.0,0.0,0.547056730016,0.452729226593,1.0,0
