heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
FB.DCE,2013/12/6,0.0,0.542721518987,0.527649769585,0.519933554817,0.48349961627,102076,3734558800,0,-3.95,0.0,0.0,73.17212273,10462,0.58210180624,0.512175962294,-2.85,0.263036564701,2013/12/6,2013/12/6,0.0,0.0,0.0,0.0,0.0,0.0,0.456693254725,0.444680109279,0.19614345676,1.0
FB.DCE,2013/12/9,0.715491559086,0.490506329114,0.544546850998,0.513289036545,0.515732924021,381842,14208955700,0,1.0,0.987487348146,6.453851492,74.4232206,27074,0.535303776683,0.531814611155,1.25,0.605671737628,2013/12/9,2013/12/9,0.0,0.0,0.0,0.0,0.0,0.0,0.636726200798,0.649862285155,0.62239787035,1.0
FB.DCE,2013/12/10,0.736345580933,0.529272151899,0.526113671275,0.528239202658,0.491941673062,429364,15786167400,0,-1.8,0.980257418085,3.438975051,73.53279455,37456,0.555829228243,0.517674783975,-0.9,0.422485725071,2013/12/10,2013/12/10,0.0,0.0,0.0,0.0,0.0,0.0,0.569208427259,0.570232272098,0.383530635804,0.0
FB.DCE,2013/12/11,0.720953326713,0.507911392405,0.505376344086,0.529069767442,0.504221028396,257088,9377093000,0,-0.1,0.984596339955,1.584022039,72.9485079,35208,0.54105090312,0.508248232522,-0.6,0.447175293796,2013/12/11,2013/12/11,0.0,0.0,0.0,0.0,0.0,0.0,0.432330501127,0.417194908107,0.529741699466,1.0
FB.DCE,2013/12/12,0.728897715988,0.522151898734,0.540706605223,0.544850498339,0.534151957022,407892,15331439300,0,2.45,0.991182337692,3.40599455,75.17401322,40950,0.531198686371,0.543597800471,2.25,0.69214009583,2013/12/12,2013/12/12,5.77279607656,0.0,0.0,0.0,0.0,0.0,0.518922316629,0.516749856372,0.741138659358,1.0
FB.DCE,2013/12/13,0.748262164846,0.548259493671,0.541474654378,0.553156146179,0.52570990023,461736,17272264300,0,-0.35,0.983977161268,2.720637027,74.81445805,42202,0.568144499179,0.53809897879,-0.35,0.469180961233,2013/12/13,2013/12/13,6.42340644597,0.0,0.0,0.0,0.0,0.0,0.470261834576,0.460279673989,0.509044962771,0.0
FB.DCE,2013/12/16,0.742800397219,0.544303797468,0.538402457757,0.549833887043,0.524174980814,273528,10183630500,0,-0.1,0.98460401665,2.740641711,74.46133851,40610,0.562397372742,0.532600157109,-0.35,0.469044176107,2013/12/16,2013/12/16,6.55294760071,0.0,0.0,0.0,0.0,0.0,0.439439916768,0.424870759595,0.529889649911,0.0
FB.DCE,2013/12/17,0.74180734856,0.544303797468,0.533794162826,0.559800664452,0.51650038373,200904,7499169700,0,-0.25,0.984223172418,1.539491299,74.65425975,37974,0.556650246305,0.535742340927,0.2,0.51527549198,2013/12/17,2013/12/17,6.92867087474,0.0,0.0,0.0,0.0,0.0,0.428125541876,0.412099750356,0.517218659017,0.0
FB.DCE,2013/12/18,0.736842105263,0.530063291139,0.519201228879,0.53903654485,0.507290867229,186512,6867560300,0,-1.05,0.982175863525,1.954177898,73.64202089,33076,0.559934318555,0.519245875884,-1.05,0.410127690442,2013/12/18,2013/12/18,6.97551755988,0.0,0.0,0.0,0.0,0.0,0.403611062944,0.384631473077,0.449220396281,0.0
FB.DCE,2013/12/19,0.730883813307,0.523734177215,0.510752688172,0.535714285714,0.497313891021,128378,4702813400,0,-0.65,0.983183848929,1.494565217,73.26509838,30656,0.542692939245,0.513747054203,-0.35,0.468565321968,2013/12/19,2013/12/19,6.41162026576,6.08282460796,0.0,0.0,0.0,0.0,0.430466447026,0.415273346685,0.482642794119,0.0
