heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
FG.CZC,2012/12/3,0.0,0.679903730445,0.680239520958,0.622411693057,0.616686819831,694116,18549367400.0,0,-102,0.0,0.0,1336.186416,82472,0.740166865316,0.635265700483,-84,0.0,2012/12/3,2012/12/3,0.0,0.0,0.0,0.0,0.0,0.0,0.404254285853,0.380043855465,0.0,1
FG.CZC,2012/12/4,0.806116207951,0.602888086643,0.609580838323,0.600487210719,0.608222490931,1373086,35994604600.0,0,-25,0.860784313734,2.276176024,1310.719234,168662,0.640047675805,0.605072463768,-25,0.0,2012/12/4,2012/12/4,0.0,0.0,0.0,0.0,0.0,0.0,0.665867369239,0.61766892697,0.0,0
FG.CZC,2012/12/5,0.801834862385,0.60770156438,0.632335329341,0.618757612667,0.632406287787,1526540,40485230500.0,0,20,1.0,2.593440122,1326.045518,148090,0.610250297974,0.623188405797,15,1.0,2012/12/5,2012/12/5,0.0,0.0,0.0,0.0,0.0,0.0,0.34181195668,0.322461787303,1.0,1
FG.CZC,2012/12/6,0.814067278287,0.631768953069,0.623952095808,0.629719853837,0.62515114873,1005208,26739383600.0,0,-1,0.860784313734,1.352366642,1330.04232,166778,0.628128724672,0.628019323671,4,1.0,2012/12/6,2012/12/6,0.0,0.0,0.0,0.0,0.0,0.0,0.460978097227,0.43211671076,0.0,0
FG.CZC,2012/12/7,0.810397553517,0.61853188929,0.626347305389,0.62850182704,0.632406287787,903684,24017489700.0,0,1,1.0,1.58490566,1328.865494,136784,0.632896305125,0.626811594203,-1,0.0,2012/12/7,2012/12/7,-5.89160025726,0.0,0.0,0.0,0.0,0.0,0.313213297072,0.296089132907,1.0,1
FG.CZC,2012/12/10,0.814067278287,0.6293622142,0.631137724551,0.643118148599,0.638452237001,631448,16885316100.0,0,7,1.0,0.976709241,1337.031402,148746,0.631704410012,0.636473429952,8,1.0,2012/12/10,2012/12/10,-5.71906523933,0.0,0.0,0.0,0.0,0.0,0.440562624448,0.413651876812,1.0,1
FG.CZC,2012/12/11,0.817125382263,0.634175691937,0.622754491018,0.588306942753,0.586457073761,1624386,42624965000.0,0,-44,0.860784313734,3.817365269,1312.033131,305548,0.641239570918,0.606280193237,-25,0.0,2012/12/11,2012/12/11,-5.89160025726,0.0,0.0,0.0,0.0,0.0,0.880196445049,0.806410096649,0.0,0
FG.CZC,2012/12/12,0.790825688073,0.578820697954,0.585628742515,0.584652862363,0.593712212817,1755162,45460746300.0,0,-13,0.860784313734,1.778808971,1295.058413,223502,0.611442193087,0.585748792271,-17,0.0,2012/12/12,2012/12/12,-6.19851828355,0.0,0.0,0.0,0.0,0.0,0.15521951338,0.155914236956,0.0,1
FG.CZC,2012/12/13,0.794495412844,0.58844765343,0.592814371257,0.583434835566,0.581620314389,1986856,51497688300.0,0,-6,0.860784313734,2.309468822,1295.959252,306244,0.591179976162,0.586956521739,1,1.0,2012/12/13,2012/12/13,-6.54407093783,0.0,0.0,0.0,0.0,0.0,0.655401631781,0.604334737981,0.0,0
FG.CZC,2012/12/14,0.788379204893,0.576413959085,0.596407185629,0.584652862363,0.599758162031,1926362,49976734300.0,0,8,1.0,2.482544608,1297.179198,239266,0.592371871275,0.588164251208,1,1.0,2012/12/14,2012/12/14,-6.80340798821,-6.48237735987,0.0,0.0,0.0,0.0,0.200955514545,0.196372067079,1.0,1
