heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
I.DCE,2013/10/18,0.0,1.0,1.0,1.0,1.0,300818,29345529200.0,0,17.0,1.0,0.0,975.5243769,65042,0.978260869565,1.0,15.0,0.593909211364,2013/10/18,2013/10/18,0.0,0.0,0.0,0.0,0.0,0.0,0.402870443252,0.34937059755,0.615079075017,1.0
I.DCE,2013/10/21,1.0,0.997116077866,0.989949748744,0.997056659308,0.988455988456,95432,9230707200.0,0,-6.0,0.0415570308247,1.740020471,967.254925,68130,1.0,0.988405797101,-8.0,0.431115443684,2013/10/21,2013/10/21,0.0,0.0,0.0,0.0,0.0,0.0,0.405478401578,0.355650023506,0.475547343168,0.0
I.DCE,2013/10/22,0.991811668373,0.978370583994,0.97415649677,0.979396615158,0.958152958153,91296,8728862400.0,0,-19.0,0.0342935826752,1.857585139,956.1056782,76004,0.988405797101,0.972463768116,-11.0,0.409458048512,2013/10/22,2013/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.409520399166,0.36503531706,0.393632466556,0.0
I.DCE,2013/10/23,0.970317297851,0.958183129056,0.955491744436,0.961736571008,0.945165945166,116490,11000123000.0,0,-17.0,0.0351972145996,1.793248945,944.2976221,81162,0.972463768116,0.955072463768,-12.0,0.401418050809,2013/10/23,2013/10/23,0.0,0.0,0.0,0.0,0.0,0.0,0.407226611985,0.359534624435,0.405093414459,0.0
I.DCE,2013/10/24,0.96110542477,0.942321557318,0.935391241924,0.932303164091,0.926406926407,169028,15687645400.0,0,-18.0,0.0345301030653,2.449414271,928.1092718,87872,0.955072463768,0.931884057971,-16.0,0.371381284711,2013/10/24,2013/10/24,30.6544759494,0.0,0.0,0.0,0.0,0.0,0.408537347517,0.36240984064,0.397203236858,0.0
I.DCE,2013/10/25,0.947799385875,0.927901946647,0.931083991385,0.933774834437,0.914862914863,104060,9647274400.0,0,-10.0,0.039044716115,2.051835853,927.0876802,86472,0.931884057971,0.930434782609,-1.0,0.47980672248,2013/10/25,2013/10/25,30.0855345217,0.0,0.0,0.0,0.0,0.0,0.401688078725,0.34667354386,0.447742340642,0.0
I.DCE,2013/10/28,0.939611054248,0.916366258111,0.91959798995,0.933774834437,0.922077922078,83790,7727837400.0,0,-4.0,0.0425192362428,1.198257081,922.2863588,93480,0.930434782609,0.923188405797,-5.0,0.450321213121,2013/10/28,2013/10/28,29.6246819356,0.0,0.0,0.0,0.0,0.0,0.408789022252,0.362944810851,0.48653767765,1.0
I.DCE,2013/10/29,0.944728761515,0.922134102379,0.915290739411,0.927888153054,0.919191919192,105876,9710710600.0,0,-1.0,0.0442850591028,1.300108342,917.1776984,99058,0.923188405797,0.915942028986,-5.0,0.450121392296,2013/10/29,2013/10/29,29.3470463444,0.0,0.0,0.0,0.0,0.0,0.407581321343,0.360151547136,0.505746929211,0.0
I.DCE,2013/10/30,0.942681678608,0.914924297044,0.922469490309,0.932303164091,0.923520923521,118272,10913153000.0,0,7.0,0.0489688529303,1.520086862,922.7165348,91262,0.915942028986,0.923188405797,5.0,0.524416954353,2013/10/30,2013/10/30,29.1905061983,0.0,0.0,0.0,0.0,0.0,0.396286361932,0.334253699757,0.556974077283,1.0
I.DCE,2013/10/31,0.945752302968,0.923576063446,0.91816223977,0.938189845475,0.920634920635,74672,6893437200.0,0,0.0,0.0448694229764,0.757575758,923.1622563,84820,0.923188405797,0.924637681159,1.0,0.494577529592,2013/10/31,2013/10/31,29.1484838627,29.6544940597,0.0,0.0,0.0,0.0,0.397429877338,0.336906222262,0.512168566007,0.0
I.DCE,2013/11/1,0.943705220061,0.917808219178,0.956927494616,0.93966151582,0.949494949495,321242,30276584000.0,0,19.0,0.055984378781,3.579175705,942.4852292,107582,0.924637681159,0.952173913043,19.0,0.627793419522,2013/11/1,2013/11/1,29.3988609331,29.4776591122,0.0,0.0,0.0,0.0,0.422094001358,0.394367249117,0.631459672461,1.0
I.DCE,2013/11/4,0.96417604913,0.949531362653,0.961234745154,0.970566593083,0.961038961039,175080,16619307400.0,0,8.0,0.0494500417056,1.592356688,949.2407699,122298,0.952173913043,0.96231884058,7.0,0.537932488682,2013/11/4,2013/11/4,29.675514609,29.380752002,0.0,0.0,0.0,0.0,0.415298783516,0.378708716126,0.561973429067,1.0
I.DCE,2013/11/5,0.972364380757,0.956741167988,0.956927494616,0.972038263429,0.955266955267,108384,10267662400.0,0,-3.0,0.0431661560647,1.157894737,947.3411574,121942,0.96231884058,0.959420289855,-2.0,0.472771068147,2013/11/5,2013/11/5,29.9269666971,29.3705138732,0.0,0.0,0.0,0.0,0.402569784843,0.348663857001,0.493412770589,0.0
I.DCE,2013/11/6,0.968270214944,0.958183129056,0.952620244078,0.970566593083,0.952380952381,69362,6560806600.0,0,-3.0,0.0431589540905,0.951374207,945.8790981,123650,0.959420289855,0.95652173913,-2.0,0.472740662434,2013/11/6,2013/11/6,30.1248896997,29.3960958362,0.0,0.0,0.0,0.0,0.404312927974,0.352754195364,0.493373033734,0.0
I.DCE,2013/11/7,0.966223132037,0.952415284787,0.94687724336,0.966151582046,0.953823953824,91676,8655909000.0,0,0.0,0.0448694229764,0.847457627,944.1848466,124958,0.95652173913,0.955072463768,-1.0,0.479939150698,2013/11/7,2013/11/7,30.3489650758,29.4929015533,0.0,0.0,0.0,0.0,0.403975109538,0.351964528598,0.512168566007,1.0
