heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
IF.CZC,2010/4/16,0.0,0.423429438543,0.420851759859,0.433792470156,0.411408868187,48988,50538805320.0,0,16.6,1.0,0.0,3438.856136,2702,0.407305936073,0.417108066971,32.2,0.547262004322,2010/4/16,2010/4/16,0.0,0.0,0.0,0.0,0.0,0.0,0.329222331498,0.340545945854,0.574165808615,1.0
IF.CZC,2010/4/19,0.637048642196,0.407040971168,0.393590597928,0.358187940006,0.345411650838,109733,1.0820641224e+11,0,-233.8,0.0601540131789,6.786508959,3286.960539,3954,0.417108066971,0.347092846271,-230.0,0.164427031968,2010/4/19,2010/4/19,0.0,0.0,0.0,0.0,0.0,0.0,0.338210063101,0.348441243608,0.188060731472,0.0
IF.CZC,2010/4/20,0.596351835273,0.350349013657,0.345732113649,0.358983777166,0.350613997943,141862,1.3634209026e+11,0,13.4,0.182762197589,2.226809283,3203.631939,4496,0.347092846271,0.351780821918,15.4,0.523929816648,2010/4/20,2010/4/20,0.0,0.0,0.0,0.0,0.0,0.0,0.333113186553,0.343982264594,0.570741687696,1.0
IF.CZC,2010/4/21,0.599559832886,0.352109256449,0.358211667777,0.370982552801,0.366523501301,114531,1.112678949e+11,0,50.6,0.202256515141,2.277110683,3238.363264,5062,0.351780821918,0.366818873668,49.4,0.576708007896,2010/4/21,2010/4/21,0.0,0.0,0.0,0.0,0.0,0.0,0.333285475338,0.344193144057,0.626783373094,1.0
IF.CZC,2010/4/22,0.609370337213,0.365827010622,0.356151935542,0.371900826446,0.357147178029,133247,1.2962980758e+11,0,-29.8,0.16029373784,1.94049951,3242.844932,5383,0.366818873668,0.358904109589,-26.0,0.460020813809,2010/4/22,2010/4/22,-4.91948894752,0.0,0.0,0.0,0.0,0.0,0.331526693994,0.342594783756,0.50451028374,0.0
IF.CZC,2010/4/23,0.60358848105,0.36,0.353607560429,0.374961738598,0.352610247414,116981,1.1388681534e+11,0,-18.8,0.165883359544,1.390519745,3245.165606,5808,0.358904109589,0.357564687976,-4.4,0.493061347462,2010/4/23,2010/4/23,-5.71726004311,0.0,0.0,0.0,0.0,0.0,0.332273278727,0.34324600846,0.52120574597,0.0
IF.CZC,2010/4/26,0.600790808714,0.360606980273,0.34936693524,0.372145699418,0.352126308148,112229,1.0894972776e+11,0,-16.0,0.167304850866,1.247982118,3235.93509,7079,0.357564687976,0.354277016743,-10.8,0.483154159093,2010/4/26,2010/4/26,-5.62606305886,0.0,0.0,0.0,0.0,0.0,0.338346458389,0.3486167105,0.525497320258,0.0
IF.CZC,2010/4/27,0.600492390331,0.347921092564,0.335130550675,0.340250994796,0.327687375234,139961,1.3200716022e+11,0,-86.0,0.130603688066,3.025220524,3143.903426,7386,0.354277016743,0.322922374429,-103.0,0.3400283704,2010/4/27,2010/4/27,-5.9375394155,0.0,0.0,0.0,0.0,0.0,0.331426192202,0.342446451802,0.414444432933,0.0
IF.CZC,2010/4/28,0.585422262011,0.317693474962,0.316229478403,0.336149372513,0.324723247232,128530,1.2047029896e+11,0,7.2,0.179560283272,1.54199057,3124.310769,7092,0.322922374429,0.326270928463,11.0,0.517489189395,2010/4/28,2010/4/28,-6.50605788234,0.0,0.0,0.0,0.0,0.0,0.327111793885,0.338731599873,0.56149566641,0.0
IF.CZC,2010/4/29,0.583594449418,0.329650986343,0.320773005392,0.332476277931,0.311051962979,116254,1.094156538e+11,0,-49.0,0.149256880437,2.409715564,3137.258469,8705,0.326270928463,0.320669710807,-18.4,0.470466569208,2010/4/29,2010/4/29,-7.13381475618,-5.99932165171,0.0,0.0,0.0,0.0,0.340801573571,0.350356370021,0.471430477008,0.0
