heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
IH.CZC,2015/4/16,0.0,0.739409042364,0.830744771921,0.815336658354,0.854393693485,144423,1.3772866404e+11,0,225.0,1.0,0.0,3178.825719,28848,0.729713814627,0.826757743493,164.8,0.772508662693,2015/4/16,2015/4/16,0.0,0.0,0.0,0.0,0.0,0.0,0.292483638701,0.308425119699,0.889368634374,1.0
IH.CZC,2015/4/17,0.928939179632,0.860211225822,0.863397333986,0.908354114713,0.837120333874,271224,2.6755207272e+11,0,30.4,0.014803104132,3.15488154,3288.205477,37853,0.826757743493,0.860440466376,57.2,0.590598905224,2015/4/17,2015/4/17,0.0,0.0,0.0,0.0,0.0,0.0,0.410586646032,0.439770618706,0.59638117799,0.0
IH.CZC,2015/4/20,0.920509193777,0.833155334045,0.847132200073,0.849501246883,0.774982610712,267213,2.605294335e+11,0,-134.0,0.00803926311186,5.267363245,3249.959564,37975,0.860440466376,0.799199152043,-104.0,0.341678371505,2015/4/20,2015/4/20,0.0,0.0,0.0,0.0,0.0,0.0,0.294083701654,0.310145969244,0.339292129257,0.0
IH.CZC,2015/4/21,0.89018387553,0.784976860093,0.802617096735,0.85536159601,0.825527475075,239311,2.2932009348e+11,0,57.2,0.0159992531292,2.834625651,3194.171232,37771,0.799199152043,0.819455894477,34.4,0.555782708065,2015/4/21,2015/4/21,0.0,0.0,0.0,0.0,0.0,0.0,0.289808123598,0.305467896449,0.637697036666,1.0
IH.CZC,2015/4/22,0.914851485149,0.828408686365,0.858260975908,0.903241895262,0.868421052632,239676,2.3547571548e+11,0,96.8,0.0175756040637,3.197278912,3274.917187,42623,0.819455894477,0.877399599576,98.4,0.655535960288,2015/4/22,2015/4/22,19.7007701347,0.0,0.0,0.0,0.0,0.0,0.356118929269,0.380370054299,0.695007990266,1.0
IH.CZC,2015/4/23,0.935785007072,0.869111190222,0.867433043904,0.917955112219,0.845119406446,246929,2.4434814828e+11,0,-41.8,0.0118671063538,2.865779927,3298.494011,39573,0.877399599576,0.85596513956,-36.4,0.445897325733,2015/4/23,2015/4/23,19.6151418396,0.0,0.0,0.0,0.0,0.0,0.252482064868,0.263749638719,0.486793634742,0.0
IH.CZC,2015/4/24,0.92441301273,0.827696689213,0.818270759447,0.865960099751,0.824947832135,224297,2.1701019552e+11,0,-40.2,0.0119119208161,2.992839219,3225.042325,36034,0.85596513956,0.834412907785,-36.6,0.444973961279,2015/4/24,2015/4/24,19.5024285852,0.0,0.0,0.0,0.0,0.0,0.246068697785,0.257138958117,0.488562223919,0.0
IH.CZC,2015/4/27,0.914568599717,0.834341995965,0.873425461661,0.920698254364,0.897171342453,259172,2.5695510942e+11,0,121.0,0.0185806479073,3.099288586,3304.820858,45698,0.834412907785,0.887292427276,89.8,0.640948292901,2015/4/27,2015/4/27,20.6169960911,0.0,0.0,0.0,0.0,0.0,0.419229609034,0.453870458136,0.728553167372,1.0
IH.CZC,2015/4/28,0.94981612447,0.881215141806,0.884431943255,0.925187032419,0.856132622305,329692,3.2777472114e+11,0,-39.6,0.0119800070302,3.305932809,3313.948788,36374,0.887292427276,0.864091390884,-39.4,0.44163654946,2015/4/28,2015/4/28,20.890272113,0.0,0.0,0.0,0.0,0.0,0.170196860204,0.171055887065,0.490473751687,0.0
IH.CZC,2015/4/29,0.929787835926,0.847395277086,0.85361379479,0.922693266833,0.861001623,242567,2.3978665446e+11,0,8.2,0.0138962004059,1.965437508,3295.126081,39968,0.864091390884,0.872688729243,14.6,0.523629034289,2015/4/29,2015/4/29,20.8242412769,20.3270822773,0.0,0.0,0.0,0.0,0.339619919472,0.361510359165,0.562446702833,1.0
IH.CZC,2015/4/30,0.93216407355,0.867093864958,0.857038033509,0.914089775561,0.84604683515,202408,2.0002330458e+11,0,-32.2,0.0122512101669,2.549162418,3294.061246,41181,0.872688729243,0.857260628901,-26.2,0.461316557983,2015/4/30,2015/4/30,20.8325027634,20.2892006382,0.0,0.0,0.0,0.0,0.308392461343,0.326201477709,0.501362734602,0.0
