heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
PB,20110324,0.651807825656,0.622384428224,0.721951219512,0.68781843446,0.721512519162,18935.0,19095.0,585,745.0,0.870960131997,3506074.3,9696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864971569912,1.0
PB,20110325,0.709757305597,0.694890510949,0.693170731707,0.647522000926,0.724578436382,18950.0,18995.0,-145,-100.0,0.478808942393,1180466.85,8494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494184177595,0.0
PB,20110328,0.711243189698,0.685158150852,0.689756097561,0.638258452987,0.687787429739,18605.0,18775.0,-390,-220.0,0.424719945874,796226.15,8262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439725929633,0.0
PB,20110329,0.677067855374,0.663746958637,0.653658536585,0.610467809171,0.686254471129,18675.0,18635.0,-100,-140.0,0.459632164604,494775.53,7968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47541222146,0.0
PB,20110330,0.684001981179,0.650121654501,0.68,0.621120889301,0.707715891671,18760.0,18755.0,125,120.0,0.578870356806,379213.55,7320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9114705238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591049215643,1.0
PB,20110331,0.692421991085,0.661800486618,0.670243902439,0.60907827698,0.695963208993,18665.0,18650.0,-90,-105.0,0.476109825938,142487.35,6776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.629181357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.491299884501,0.0
PB,20110401,0.683011391778,0.651581508516,0.678048780488,0.614636405743,0.694941236587,18640.0,18665.0,-10,15.0,0.530817508466,118995.63,6716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2985559484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544678228979,0.0
PB,20110406,0.680534918276,0.65304136253,0.667804878049,0.668364983789,0.705671946857,19220.0,19080.0,555,415.0,0.714242954786,734737.63,9362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4984780548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72165147481,1.0
PB,20110407,0.737989103517,0.693430656934,0.719024390244,0.662806855025,0.7424629535,19075.0,19135.0,-5,55.0,0.548407291105,498821.1,8644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1187308812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.561881462527,0.0
PB,20110408,0.723625557207,0.698783454988,0.708292682927,0.658175081056,0.73939703628,19175.0,19145.0,40,10.0,0.528429449232,403720.35,9388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4629087458,21.3169535323,0.0,0.0,0.0,0.0,0.0,0.0,0.54235122195,0.0
