heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
PP.DCE,2014/2/28,0.0,0.879010695187,0.866050808314,0.87296037296,0.872965792096,97582,5206229500.0,0,157,1.0,0.0,10670.47099,21256,0.841109081853,0.869334218828,170,1.0,2014/2/28,2014/2/28,0.0,0.0,0.0,0.0,0.0,0.0,0.412803904845,0.411635738581,1.0,1
PP.DCE,2014/3/3,0.933023988794,0.881684491979,0.877598152425,0.872627372627,0.868814347393,44726,2382163200.0,0,-38,0.0,1.764098714,10652.25238,18328,0.869334218828,0.866345674913,-18,0.0,2014/3/3,2014/3/3,0.0,0.0,0.0,0.0,0.0,0.0,0.400440815086,0.396633361844,0.0,0
PP.DCE,2014/3/4,0.930835230257,0.817179144385,0.801715605411,0.815018315018,0.814679508469,39938,2055228600.0,0,-1,0.0,0.696012039,10292.09575,25034,0.809065249875,0.806574796613,-15,0.0,2014/3/4,2014/3/4,0.0,0.0,0.0,0.0,0.0,0.0,0.441119096076,0.444942140162,0.0,0
PP.DCE,2014/3/5,0.902293818946,0.825367647059,0.806664467173,0.816017316017,0.813517103952,17656,909551300.0,0,7,0.400763358817,0.950902387,10303.02787,23234,0.806574796613,0.808401129005,11,1.0,2014/3/5,2014/3/5,0.0,0.0,0.0,0.0,0.0,0.0,0.405203644747,0.402701828231,1.0,0
PP.DCE,2014/3/6,0.901680966556,0.810494652406,0.795117123062,0.784215784216,0.791431418134,71074,3608496000.0,0,-137,0.0,2.126420041,10154.19422,32288,0.808401129005,0.783662626598,-149,0.0,2014/3/6,2014/3/6,13.0502532508,0.0,0.0,0.0,0.0,0.0,0.451033213137,0.45599298949,0.0,0
PP.DCE,2014/3/7,0.890036771143,0.798796791444,0.780270537776,0.793872793873,0.792925938227,45330,2303681400.0,0,21,0.400763358817,0.698406453,10164.04765,37846,0.783662626598,0.785322928773,10,1.0,2014/3/7,2014/3/7,12.0897904691,0.0,0.0,0.0,0.0,0.0,0.43627181908,0.438889533729,1.0,1
PP.DCE,2014/3/10,0.890824724216,0.769552139037,0.77202243484,0.772394272394,0.776652274992,79360,3994725400.0,0,-87,0.0,1.474201474,10067.35232,46536,0.785322928773,0.769217997676,-97,0.0,2014/3/10,2014/3/10,10.9636512971,0.0,0.0,0.0,0.0,0.0,0.44949627165,0.453836963992,0.0,0
PP.DCE,2014/3/11,0.882244790755,0.781417112299,0.805014846585,0.780719280719,0.793756227167,69412,3528732800.0,0,113,0.400763358817,2.977076511,10167.50072,39284,0.769217997676,0.785821019426,100,1.0,2014/3/11,2014/3/11,10.7050544921,0.0,0.0,0.0,0.0,0.0,0.382183301384,0.376057896728,1.0,1
PP.DCE,2014/3/12,0.891262475924,0.780414438503,0.779115803365,0.782550782551,0.795582862836,46214,2342737000.0,0,24,0.400763358817,1.296660118,10138.6463,49316,0.785821019426,0.781006143118,-29,0.0,2014/3/12,2014/3/12,10.482553119,0.0,0.0,0.0,0.0,0.0,0.45516268779,0.460905260931,1.0,1
PP.DCE,2014/3/13,0.89222552968,0.798796791444,0.78620917189,0.799866799867,0.798571903022,25802,1315661600.0,0,71,0.400763358817,0.696693161,10198.13658,49944,0.781006143118,0.790967956168,60,1.0,2014/3/13,2014/3/13,10.5712348398,12.1982761109,0.0,0.0,0.0,0.0,0.415455551146,0.414725442577,1.0,1
PP.DCE,2014/3/14,0.893801435826,0.798796791444,0.781920158364,0.792374292374,0.792261707074,45528,2313512600.0,0,-27,0.0,0.881575081,10163.03198,52024,0.790967956168,0.785156898556,-35,0.0,2014/3/14,2014/3/14,10.5629905706,11.7000553519,0.0,0.0,0.0,0.0,0.421586427624,0.421831062212,0.0,0
PP.DCE,2014/3/17,0.890474522851,0.792947860963,0.795117123062,0.795704295704,0.792261707074,26120,1329823000.0,0,8,0.400763358817,1.474781241,10182.41194,52644,0.785156898556,0.788311472688,19,1.0,2014/3/17,2014/3/17,10.7564482942,11.2235375427,0.0,0.0,0.0,0.0,0.415421772212,0.414674729279,1.0,0
PP.DCE,2014/3/18,0.890474522851,0.786263368984,0.795117123062,0.793206793207,0.811026237131,56886,2911804000.0,0,102,0.400763358817,1.622259365,10237.3308,51812,0.788311472688,0.797443134651,55,1.0,2014/3/18,2014/3/18,10.9697953152,11.2007025511,0.0,0.0,0.0,0.0,0.409290895733,0.407512301035,1.0,1
PP.DCE,2014/3/19,0.900367711434,0.81550802139,0.804684922468,0.808025308025,0.799402191963,36210,1860987300.0,0,-23,0.0,1.302994944,10278.85833,48670,0.797443134651,0.804250373568,41,1.0,2014/3/19,2014/3/19,11.0168792139,11.1123961745,0.0,0.0,0.0,0.0,0.399537228607,0.396169807837,0.0,0
PP.DCE,2014/3/20,0.894239187533,0.802139037433,0.7901682613,0.804861804862,0.803719694454,25118,1284795300.0,0,-38,0.0,0.636381437,10230.07644,43802,0.804250373568,0.796280923128,-48,0.0,2014/3/20,2014/3/20,11.0802833806,11.1892818485,0.0,0.0,0.0,0.0,0.392249423647,0.387612887279,0.0,1
PP.DCE,2014/3/21,0.89651549641,0.799799465241,0.795941933355,0.806027306027,0.811192294919,23768,1217851600.0,0,55,0.400763358817,0.908203125,10247.82565,44088,0.796280923128,0.799103436826,17,1.0,2014/3/21,2014/3/21,11.31288447,11.3033925778,0.0,0.0,0.0,0.0,0.414011501727,0.413053308067,1.0,1
PP.DCE,2014/3/24,0.900455261776,0.812165775401,0.800725833058,0.812520812521,0.815343739621,24834,1277774100.0,0,63,0.400763358817,0.807000486,10290.52187,47484,0.799103436826,0.806242736178,43,1.0,2014/3/24,2014/3/24,11.5952892967,11.5443902527,0.0,0.0,0.0,0.0,0.427143062229,0.428509052008,1.0,1
PP.DCE,2014/3/25,0.902644020312,0.818014705882,0.819201583636,0.820679320679,0.83128528728,52928,2744645100.0,0,116,0.400763358817,1.416100873,10371.24055,45170,0.806242736178,0.819691183795,81,1.0,2014/3/25,2014/3/25,11.8420542753,11.7772202126,0.0,0.0,0.0,0.0,0.403033348252,0.400031378323,1.0,1
PP.DCE,2014/3/26,0.911048853091,0.830381016043,0.839656878918,0.836496836497,0.851378279641,118820,6237704800.0,0,156,0.400763358817,1.681722083,10499.41895,52690,0.819691183795,0.840943051635,128,1.0,2014/3/26,2014/3/26,12.4703769194,12.121670217,0.0,0.0,0.0,0.0,0.444556102587,0.449785909712,1.0,1
PP.DCE,2014/3/27,0.921642444406,0.853943850267,0.834708017156,0.851315351315,0.845566257057,46228,2427101800.0,0,-7,0.0,0.531965422,10500.57022,51682,0.840943051635,0.841109081853,1,1.0,2014/3/27,2014/3/27,12.9711813887,12.4101908167,13.0803363805,0.0,0.0,0.0,0.40854775919,0.40653899434,0.0,0
PP.DCE,2014/3/28,0.918578182455,0.848930481283,0.850379412735,0.854312354312,0.866821653936,75226,3970551300.0,0,120,0.400763358817,1.267632482,10556.32707,58422,0.841109081853,0.850406774033,56,1.0,2014/3/28,2014/3/28,13.6298043104,12.8649183809,13.0608128044,0.0,0.0,0.0,0.441262656544,0.446130920542,1.0,1
