heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
RI.CZC,2010/1/4,0.109913793103,0.122977346278,0.117263843648,0.113978494624,0.115301724138,26470,562220300,0,5,1.0,0.519357885,2123.990555,85910,0.108953613808,0.115426105717,6,1.0,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,0.472141812647,0.467499107266,1.0,1
RI.CZC,2010/1/5,0.115301724138,0.115426105717,0.112920738328,0.111827956989,0.11099137931,17720,376063500,0,-5,0.5,0.423928403,2122.254515,86080,0.115426105717,0.113268608414,-2,0.0,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,0.481293582819,0.475393812511,0.5,0
RI.CZC,2010/1/6,0.11099137931,0.108953613808,0.112920738328,0.111827956989,0.116379310345,24868,528027100,0,2,1.0,0.424728646,2123.319527,83402,0.113268608414,0.114347357066,1,1.0,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,0.467128234206,0.463168015581,1.0,1
RI.CZC,2010/1/7,0.116379310345,0.11758360302,0.121606948969,0.0935483870968,0.0959051724138,47676,1008453000,0,-18,0.5,1.600753296,2115.221495,79282,0.114347357066,0.105717367853,-8,0.0,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,0.459956031713,0.457135209471,0.5,0
RI.CZC,2010/1/8,0.0959051724138,0.0949298813376,0.0933767643865,0.0817204301075,0.0862068965517,27068,567728300,0,-19,0.5,0.902612827,2097.415029,76028,0.105717367853,0.0862998921251,-18,0.0,2010/1/8,2010/1/8,-36.315959496,0.0,0.0,0.0,0.0,0.0,0.464263332239,0.460879205172,0.5,0
RI.CZC,2010/1/11,0.0862068965517,0.0906148867314,0.0912052117264,0.0881720430108,0.0905172413793,11996,252149600,0,3,1.0,0.52480916,2101.947316,75430,0.0862998921251,0.091693635383,5,1.0,2010/1/11,2010/1/11,-36.540217608,0.0,0.0,0.0,0.0,0.0,0.47747371353,0.47212723379,1.0,1
RI.CZC,2010/1/12,0.0905172413793,0.084142394822,0.0846905537459,0.0827956989247,0.0818965517241,10310,215974900,0,-10,0.5,0.476190476,2094.809893,75328,0.091693635383,0.084142394822,-7,0.0,2010/1/12,2010/1/12,-36.8019717916,0.0,0.0,0.0,0.0,0.0,0.479940712445,0.474234332003,0.5,0
RI.CZC,2010/1/13,0.0818965517241,0.0701186623517,0.0662323561346,0.0623655913978,0.0614224137931,20760,431084900,0,-22,0.5,0.573613767,2076.516859,70190,0.084142394822,0.0647249190939,-18,0.0,2010/1/13,2010/1/13,-37.2919302792,0.0,0.0,0.0,0.0,0.0,0.45489271539,0.453136000874,0.5,0
RI.CZC,2010/1/14,0.0614224137931,0.0658036677454,0.0618892508143,0.0623655913978,0.0646551724138,8606,178601000,0,-1,0.5,0.385914134,2075.307925,70038,0.0647249190939,0.0625674217907,-2,0.0,2010/1/14,2010/1/14,-37.5679114664,0.0,0.0,0.0,0.0,0.0,0.479692023039,0.474027813674,0.5,1
RI.CZC,2010/1/15,0.0646551724138,0.0647249190939,0.0608034744843,0.0569892473118,0.0581896551724,12874,266927200,0,-5,0.5,0.578034682,2073.38201,69906,0.0625674217907,0.0604099244876,-2,0.0,2010/1/15,2010/1/15,-37.8137157939,-37.1547754257,0.0,0.0,0.0,0.0,0.479791498801,0.474113341466,0.5,0
