合约,日期,前收盘,开盘价,最高价,最低价,收盘价,成交量,成交金额,涨跌(收盘价),涨跌幅(收盘价),持仓量,前结算,结算价,涨跌(结算价),涨跌幅(结算价),MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
RU,20100104,10.917488659526917,11.11015406276065,10.995687051531263,11.259644455830475,10.745324628206234,488932,6011080.74,-5,0.7254201635597752,138342,10.79749015935817,11.193481146932363,230,10.400103486732128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002053388090349076,0.0
RU,20100105,10.73230880682,11.026459636263539,11.212950235840282,11.487694173959483,11.342260476939202,647784,8010806.16,120,4.9360542262015485,142610,11.185067752085764,11.437239562433412,145,6.693319290651644,0.0,0.0,0.0,0.0,0.0,0.0,6.113650786723426,8.367825803816409,0.004857316332726169,1.0
RU,20100106,11.329040277689394,11.252316132696002,11.65474069910887,11.774302790124601,11.919822363413935,534648,6664322.47,320,11.392341281716753,149612,11.428841553576987,11.764340076717026,195,8.780299505673653,0.0,0.0,0.0,0.0,0.0,0.0,9.688501481052626,13.492705790578697,0.01277445109780439,1.0
RU,20100107,11.906408596210902,12.557870149632045,12.641102527855793,11.377941510935884,11.593691534330496,861896,10818617.42,-70,-1.4053968255549094,153272,11.755963250622983,12.057179540169315,175,7.875525154220533,0.0,0.0,0.0,0.0,0.0,0.0,5.310741196360503,7.286469340531056,-0.002816334741500704,0.0
RU,20100108,11.580386555882512,11.83608175828995,12.045255405224339,11.546753729652238,12.428222410026471,1479472,18507268.99,255,9.251067765895051,192540,12.048822200624919,11.915028451085078,-85,-3.2105033694683556,1.5600575239542138,0.0,0.0,0.0,0.0,0.0,40.732467646119545,47.203337827253065,0.010057187931374483,1.0
RU,20100111,12.414641761620118,13.044883833543366,13.348857308664805,13.189079360159809,13.562084512727466,953166,12253476.87,1025,30.40581146100108,193384,11.90666159058761,13.07243847168187,695,27.512723402122546,2.1013643920481186,0.0,0.0,0.0,0.0,0.0,1.5687320066440549,2.06963195812839,0.03936251920122888,1.0
RU,20100112,13.548143998666738,13.406727806104477,13.233943008274451,13.488228057244065,13.265236502929547,1097928,14213216.22,150,5.614846238248539,198120,13.06415253021138,13.370325168746966,180,7.85464118900898,2.4695583408556274,0.0,0.0,0.0,0.0,0.0,6.7299885566146,9.632374205572056,0.00580046403712297,0.0
RU,20100113,13.251388517897666,11.952517262829723,12.707124566340354,12.236565213056096,12.345023216448517,1219774,15518708.7,-585,-17.154570125054803,206094,13.36206131210431,12.63245558588325,-445,-17.397360962343235,2.550820122180461,0.0,0.0,0.0,0.0,0.0,10.941779644220297,15.369660394655057,-0.023117960877296978,0.0
RU,20100114,12.331469649076332,13.258842722236878,13.00375955230394,13.313823066837692,12.967593590109772,794178,10236698.16,235,8.47044860488242,195920,12.624137969146851,13.180100319893342,330,13.99478884549513,2.813009348715184,0.0,0.0,0.0,0.0,0.0,-12.898824896004932,-18.760988077665285,0.009151090342679127,1.0
RU,20100115,12.953839593353791,12.615758038323143,12.39319074409918,12.08546854803216,11.919822363413935,1053678,13324235.28,-725,-21.222620845261332,203798,13.171822300626381,12.374337675370924,-485,-18.9563386428218,2.7160570991649564,2.0439829936127367,0.0,0.0,0.0,0.0,10.818480662532522,15.056385820931752,-0.028942115768463075,0.0
