heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
SF.CZC,2014/8/8,0.0,0.437390389337,0.421490467938,0.431109499637,0.424584952314,148816,4311770000,0,-196,0.0,0.0,5794.766692,31108,0.459401709402,0.423076923077,-204,0.0,2014/8/8,2014/8/8,0.0,0.0,0.0,0.0,0.0,0.0,0.438435296793,0.429218471603,0.5,1
SF.CZC,2014/8/11,0.640476715957,0.415643633813,0.418717504333,0.435460478608,0.429530201342,106956,3121776200,0,36,1.0,1.964162646,5837.496167,33658,0.423076923077,0.430555555556,42,1.0,2014/8/11,2014/8/11,0.0,0.0,0.0,0.0,0.0,0.0,0.457766659086,0.445204923533,1.0,1
SF.CZC,2014/8/12,0.643566541602,0.423009470361,0.431542461005,0.442712110225,0.443659484281,233812,6904898800,0,74,1.0,2.537722908,5906.368193,46588,0.430555555556,0.442663817664,68,1.0,2014/8/12,2014/8/12,0.0,0.0,0.0,0.0,0.0,0.0,0.536456675006,0.51139113065,1.0,1
SF.CZC,2014/8/13,0.652394614875,0.442300947036,0.429809358752,0.455765047136,0.446132108795,119328,3526016000,0,20,1.0,1.116373478,5909.788147,46610,0.442663817664,0.443376068376,4,1.0,2014/8/13,2014/8/13,0.0,0.0,0.0,0.0,0.0,0.0,0.438602077174,0.429358616961,1.0,1
SF.CZC,2014/8/14,0.653939527698,0.441950192915,0.428076256499,0.424945612763,0.413281525963,142708,4126815700,0,-170,0.693877551052,3.813702329,5783.580038,35404,0.443376068376,0.42094017094,-126,0.0,2014/8/14,2014/8/14,4.08073337113,0.0,0.0,0.0,0.0,0.0,0.353483435676,0.360074089351,0.5,0
SF.CZC,2014/8/15,0.633414257338,0.410733076114,0.401039861352,0.428571428571,0.419286471212,63946,1839843000,0,-10,0.693877551052,0.871080139,5754.36462,33498,0.42094017094,0.415598290598,-30,0.0,2014/8/15,2014/8/15,3.96206563313,0.0,0.0,0.0,0.0,0.0,0.423986051095,0.417388217684,0.5,1
SF.CZC,2014/8/18,0.637166188479,0.417046650298,0.403812824957,0.428571428571,0.414694454256,48440,1393883100,0,-6,0.693877551052,1.143055074,5755.091247,33734,0.415598290598,0.415954415954,2,1.0,2014/8/18,2014/8/18,3.62908297262,0.0,0.0,0.0,0.0,0.0,0.440224395421,0.430676691947,0.5,0
SF.CZC,2014/8/19,0.634297064666,0.410733076114,0.401039861352,0.421319796954,0.419639703285,39674,1139531300,0,20,1.0,1.565762004,5744.473963,32334,0.415954415954,0.413817663818,-12,0.0,2014/8/19,2014/8/19,3.08778899157,0.0,0.0,0.0,0.0,0.0,0.427821999848,0.420525873302,1.0,1
SF.CZC,2014/8/20,0.637386890311,0.41739740442,0.400693240901,0.389412617839,0.411515365595,47588,1363308300,0,-14,0.693877551052,4.570637119,5729.630579,33542,0.413817663818,0.411324786325,-14,0.0,2014/8/20,2014/8/20,2.30312737237,0.0,0.0,0.0,0.0,0.0,0.447593055871,0.436659208472,0.5,0
SF.CZC,2014/8/21,0.632310748179,0.411785338478,0.400693240901,0.427121102248,0.413634758036,15598,447765200,0,12,1.0,0.977312391,5741.315553,33038,0.411324786325,0.413461538462,12,1.0,2014/8/21,2014/8/21,2.31116046998,3.09848431753,0.0,0.0,0.0,0.0,0.434614509893,0.426107556818,1.0,1
