heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
TF.CZC,2013/9/6,0.0,0.295605858855,0.305264118237,0.29675699689,0.288908765653,34248,32310672880,0,0.002,0.610089414843,0.0,94.34324013,2625,0.283473086286,0.285637002975,0.024,0.534364228234,2013/9/6,2013/9/6,0.0,0.0,0.0,0.0,0.0,0.0,0.457781111945,0.454560689286,0.522232567839,1.0
TF.CZC,2013/9/9,0.922150411281,0.289924545051,0.270230818356,0.271701466015,0.265295169946,11831,11115164260,0,-0.286,0.380597342813,0.316448975,93.94949083,2797,0.285637002975,0.260751961049,-0.276,0.380914210903,2013/9/9,2013/9/9,0.0,0.0,0.0,0.0,0.0,0.0,0.472118029507,0.468478975592,0.385965392958,0.0
TF.CZC,2013/9/10,0.919565217391,0.26453617399,0.24833500593,0.267081297201,0.259570661896,5375,5045538400,0,-0.074,0.480605879674,0.117138415,93.87048186,2708,0.260751961049,0.254440537373,-0.07,0.486175852999,2013/9/10,2013/9/10,0.0,0.0,0.0,0.0,0.0,0.0,0.450362590648,0.447363693658,0.486251248028,0.0
TF.CZC,2013/9/11,0.918938503721,0.251043053706,0.235927378889,0.239360284318,0.237745974955,8830,8265834240,0,-0.248,0.398131696304,0.304767588,93.6108068,3293,0.254440537373,0.228293210711,-0.29,0.373206472167,2013/9/11,2013/9/11,0.0,0.0,0.0,0.0,0.0,0.0,0.506543302492,0.501743782856,0.403559301236,0.0
TF.CZC,2013/9/12,0.916549157854,0.239680426099,0.240489006478,0.247889826744,0.249373881932,8379,7853823460,0,0.172,0.597362095079,0.256415735,93.73222891,2871,0.228293210711,0.245965197007,0.196,0.62301883541,2013/9/12,2013/9/12,-28.3442036973,0.0,0.0,0.0,0.0,0.0,0.422605651413,0.420477064307,0.602826828094,1.0
TF.CZC,2013/9/13,0.917822169996,0.249445184199,0.241948727306,0.255708573967,0.25259391771,6901,6470379480,0,0.012,0.521340188242,0.179242062,93.76002724,3000,0.245965197007,0.247407808133,0.016,0.530307591202,2013/9/13,2013/9/13,-28.7239483748,0.0,0.0,0.0,0.0,0.0,0.468533800117,0.464983619109,0.526975410886,1.0
TF.CZC,2013/9/16,0.918174696436,0.255126498003,0.250342122069,0.261217236784,0.260644007156,3850,3613286900,0,0.086,0.556432236079,0.211168466,93.85160779,3189,0.247407808133,0.255702822108,0.092,0.56935517684,2013/9/16,2013/9/16,-28.7724435014,0.0,0.0,0.0,0.0,0.0,0.473535050429,0.469846151228,0.562003132547,1.0
TF.CZC,2013/9/17,0.919056012534,0.26453617399,0.306906304169,0.270279875611,0.294633273703,22275,20989850800,0,0.374,0.692845114831,0.762887037,94.23053109,5022,0.255702822108,0.290325489135,0.384,0.719192111275,2013/9/17,2013/9/17,-28.4060687732,0.0,0.0,0.0,0.0,0.0,0.610569308994,0.603405626895,0.69763446566,1.0
TF.CZC,2013/9/18,0.922777124951,0.2982689747,0.29048444485,0.29320302088,0.292128801431,10692,10075168420,0,-0.038,0.497715565415,0.295010294,94.23090554,4465,0.290325489135,0.287981246055,-0.026,0.508793955841,2013/9/18,2013/9/18,-27.834230564,0.0,0.0,0.0,0.0,0.0,0.41135283821,0.409344106646,0.503366113458,0.0
TF.CZC,2013/9/23,0.92250293772,0.324900133156,0.31000821093,0.308307418925,0.305008944544,7345,6931971460,0,0.132,0.577953858534,0.341804131,94.37673873,4527,0.287981246055,0.3007844198,0.142,0.594696832721,2013/9/23,2013/9/23,-27.2448210809,-28.0639312268,0.0,0.0,0.0,0.0,0.462949070601,0.459601467286,0.583451991643,1.0
