heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
ZC.CZC,2013/9/26,0.0,0.589893100097,0.601558694593,0.596499756928,0.609117361785,308648.0,32673990200.0,0,14.4,1.0,0.0,529.3083091,32170.0,0.575786924939,0.598547215496,9.4,0.735826519737,2013/9/26,2013/9/26,0.0,0.0,0.0,0.0,0.0,0.0,0.383586690264,0.360549068343,0.79390466968,1.0
ZC.CZC,2013/9/27,0.768257619321,0.615160349854,0.639064783244,0.619348565873,0.63870029098,430296.0,46896724600.0,0,17.2,0.0291006962973,3.255988024,544.9356327,39570.0,0.598547215496,0.636319612591,15.6,0.891562297887,2013/9/27,2013/9/27,0.0,0.0,0.0,0.0,0.0,0.0,0.426952332954,0.40084659842,0.838944276036,1.0
ZC.CZC,2013/9/30,0.785796434733,0.637512147716,0.651729176814,0.641225085075,0.659068865179,240056.0,26349442100.0,0,10.0,0.024173307611,2.488108306,548.8186527,44818.0,0.636319612591,0.645520581114,3.8,0.584000439816,2013/9/30,2013/9/30,0.0,0.0,0.0,0.0,0.0,0.0,0.414341135242,0.38956682875,0.704963105294,1.0
ZC.CZC,2013/10/8,0.797872340426,0.661807580175,0.649780808573,0.631988332523,0.640640155189,183128.0,19937375100.0,0,-1.4,0.016788835086,2.990990991,544.3562727,35386.0,0.645520581114,0.634866828087,-4.4,0.379049346662,2013/10/8,2013/10/8,0.0,0.0,0.0,0.0,0.0,0.0,0.328313076499,0.309110879777,0.499989500725,0.0
ZC.CZC,2013/10/9,0.786946520989,0.64091350826,0.636629322942,0.639766650462,0.639670223084,190138.0,20807318100.0,0,2.6,0.0193684860026,1.461454147,547.1635891,35204.0,0.634866828087,0.641646489104,2.8,0.558990612716,2013/10/9,2013/10/9,-5.18945965685,0.0,0.0,0.0,0.0,0.0,0.382520129863,0.359557241643,0.572819078775,0.0
ZC.CZC,2013/10/10,0.786371477861,0.638969873664,0.642474427667,0.649489547885,0.640640155189,170136.0,18653921200.0,0,0.2,0.0178133362621,1.170018282,548.2061762,45778.0,0.641646489104,0.64406779661,1.0,0.513655289978,2013/10/10,2013/10/10,-4.8328179029,0.0,0.0,0.0,0.0,0.0,0.445552677535,0.418215247933,0.529107491584,1.0
ZC.CZC,2013/10/11,0.786946520989,0.647716229349,0.639551875304,0.652406417112,0.640155189137,89008.0,9764860000.0,0,-1.0,0.0170356192306,0.730727073,548.5383336,43222.0,0.64406779661,0.645036319613,0.4,0.49864522858,2013/10/11,2013/10/11,-4.81636736635,0.0,0.0,0.0,0.0,0.0,0.36860796287,0.346614804832,0.507262346852,0.0
ZC.CZC,2013/10/14,0.786658999425,0.644800777454,0.664880662445,0.653378706855,0.671193016489,286206.0,31855659800.0,0,11.4,0.0250737493003,2.558479532,556.516282,61950.0,0.645036319613,0.664406779661,8.0,0.688049859083,2013/10/14,2013/10/14,-4.67931449251,0.0,0.0,0.0,0.0,0.0,0.493336927603,0.465034684644,0.728265449684,1.0
ZC.CZC,2013/10/15,0.805060379528,0.67638483965,0.679006332197,0.682547399125,0.679437439379,255142.0,28730817300.0,0,6.8,0.0219910170655,1.392857143,563.0358251,68998.0,0.664406779661,0.6799031477,6.4,0.645881110098,2013/10/15,2013/10/15,-4.24118009748,0.0,0.0,0.0,0.0,0.0,0.424889534816,0.400109390453,0.645704785384,1.0
ZC.CZC,2013/10/16,0.809948246118,0.681729834791,0.676083779834,0.68449197861,0.680407371484,182074.0,20492833200.0,0,0.8,0.0181873301505,1.029463969,562.7611081,69260.0,0.6799031477,0.679418886199,-0.2,0.483811873632,2013/10/16,2013/10/16,-3.78189679692,-4.45099416768,0.0,0.0,0.0,0.0,0.385122068424,0.362020714646,0.539603241304,1.0
ZC.CZC,2013/10/17,0.810523289247,0.686103012634,0.680954700438,0.681575109383,0.67555771096,278130.0,31376093100.0,0,-1.0,0.0170544690074,1.596310748,564.0544548,70340.0,0.679418886199,0.682324455206,1.2,0.517821463012,2013/10/17,2013/10/17,-3.38888863197,-4.07770887655,0.0,0.0,0.0,0.0,0.389915730008,0.366593877183,0.507735466787,0.0
ZC.CZC,2013/10/18,0.807648073606,0.678814382896,0.669751583049,0.678172095284,0.677012609117,143288.0,16071177600.0,0,-1.6,0.0166733840139,1.03239587,560.7998437,66612.0,0.682324455206,0.674576271186,-3.2,0.411094162029,2013/10/18,2013/10/18,-2.97475529232,-3.86269356301,0.0,0.0,0.0,0.0,0.361739782703,0.339660999185,0.497126369689,1.0
ZC.CZC,2013/10/21,0.808510638298,0.681243926142,0.672187043351,0.679630529898,0.668768186227,129934.0,14571162700.0,0,-1.8,0.0165483148134,1.102418208,560.7140048,56648.0,0.674576271186,0.674576271186,0.0,0.488668906951,2013/10/21,2013/10/21,-3.00197768118,-3.80828776912,0.0,0.0,0.0,0.0,0.325195438403,0.305058061125,0.49338977006,0.0
ZC.CZC,2013/10/22,0.803622771708,0.669582118562,0.663906478324,0.673796791444,0.671677982541,131106.0,14630472000.0,0,-0.6,0.0173028950023,0.930232558,557.9634799,48340.0,0.674576271186,0.667796610169,-2.8,0.420403684735,2013/10/22,2013/10/22,-3.08911162077,-3.63426835609,0.0,0.0,0.0,0.0,0.334899966011,0.314181248823,0.514797989828,1.0
ZC.CZC,2013/10/23,0.805347901093,0.67638483965,0.672674135412,0.680116674769,0.670708050436,151240.0,16981019400.0,0,1.8,0.0188234193483,1.10674759,561.3931301,41700.0,0.667796610169,0.67602905569,3.4,0.571978344037,2013/10/23,2013/10/23,-3.19807632156,-3.46037206877,0.0,0.0,0.0,0.0,0.344674816282,0.323516992731,0.557499873345,0.0
ZC.CZC,2013/10/24,0.804772857964,0.674441205053,0.662932294204,0.665532328634,0.654704170708,117076.0,13000326500.0,0,-8.2,0.0124875893771,1.46480886,555.2088601,45194.0,0.67602905569,0.661016949153,-6.2,0.337671752492,2013/10/24,2013/10/24,-3.43252468081,-3.38161673891,0.0,0.0,0.0,0.0,0.40406230588,0.379805781136,0.377802631547,0.0
ZC.CZC,2013/10/25,0.795284646348,0.659378036929,0.653190452996,0.666990763247,0.660523763337,88500.0,9818577900.0,0,0.4,0.0179401275492,0.650759219,554.7219153,38416.0,0.661016949153,0.66004842615,-0.4,0.478818367475,2013/10/25,2013/10/25,-3.61806654279,-3.2676039427,0.0,0.0,0.0,0.0,0.343866105648,0.323030964372,0.53263980365,1.0
ZC.CZC,2013/10/28,0.798734905118,0.665208940719,0.662445202143,0.671852211959,0.666828322017,106070.0,11831736200.0,0,3.4,0.0198543832794,0.971922246,557.7324503,43378.0,0.66004842615,0.667312348668,3.0,0.562601218374,2013/10/28,2013/10/28,-3.6399043148,-3.29203057167,0.0,0.0,0.0,0.0,0.412665111754,0.388143641022,0.586146307607,1.0
ZC.CZC,2013/10/29,0.802472685451,0.668610301263,0.660496833902,0.674282936315,0.667798254122,68364.0,7624971500.0,0,0.8,0.0181920223761,0.644930133,557.6744705,43248.0,0.667312348668,0.666828087167,-0.2,0.483766594727,2013/10/29,2013/10/29,-3.68358566847,-3.35718075586,0.0,0.0,0.0,0.0,0.382824861406,0.359825596948,0.539734828473,1.0
ZC.CZC,2013/10/30,0.80304772858,0.671525753158,0.666829030687,0.670879922217,0.663433559651,126806.0,14125224200.0,0,-0.8,0.0171756172226,1.360544218,556.9619813,43762.0,0.666828087167,0.665375302663,-0.6,0.473956695194,2013/10/30,2013/10/30,-3.76550892624,-3.45222375666,-4.11129259617,0.0,0.0,0.0,0.386598844364,0.363400345447,0.511154534935,0.0
ZC.CZC,2013/10/31,0.800460034503,0.662779397473,0.657087189479,0.671366067088,0.659553831232,59574.0,6627233700.0,0,-1.8,0.0165368963353,0.610632184,556.2186273,42470.0,0.665375302663,0.663438256659,-0.8,0.469031493964,2013/10/31,2013/10/31,-3.71089042929,-3.54187041279,-3.96974734108,0.0,0.0,0.0,0.376015283459,0.353402639857,0.493170216212,0.0
ZC.CZC,2013/11/1,0.79815986199,0.656948493683,0.660009741841,0.667476908119,0.668768186227,50654.0,5638760600.0,0,2.8,0.0194725984926,1.116714697,556.5957871,38124.0,0.663438256659,0.664406779661,0.4,0.498501736,2013/11/1,2013/11/1,-3.61806654279,-3.58806500978,-3.88540113417,0.0,0.0,0.0,0.358118165516,0.336345543918,0.575366811318,1.0
ZC.CZC,2013/11/4,0.803622771708,0.671525753158,0.663906478324,0.6762275158,0.664888457808,50894.0,5685360800.0,0,0.8,0.0181912948132,0.751341682,558.5492199,33992.0,0.664406779661,0.669249394673,2.0,0.537797720434,2013/11/4,2013/11/4,-3.6399043148,-3.60980667489,-3.86907925635,0.0,0.0,0.0,0.359372253021,0.337603207352,0.539765543404,0.0
ZC.CZC,2013/11/5,0.801322599195,0.666180758017,0.656113005358,0.669907632474,0.656644034918,33930.0,3770980100.0,0,-4.6,0.0147562308461,0.645855759,555.6999853,35278.0,0.669249394673,0.662469733656,-2.8,0.420134827791,2013/11/5,2013/11/5,-3.76550892624,-3.69407380869,-3.82419947634,0.0,0.0,0.0,0.391122935737,0.367646934641,0.442750836474,0.0
ZC.CZC,2013/11/6,0.796434732605,0.659378036929,0.650267900633,0.662129314536,0.64888457808,35250.0,3898369800.0,0,-5.0,0.0144821454223,0.794223827,552.9602553,34468.0,0.662469733656,0.655690072639,-2.8,0.419789567946,2013/11/6,2013/11/6,-3.92943529796,-3.81644789475,-3.79836320174,0.0,0.0,0.0,0.378839910456,0.356104229376,0.435035710931,0.0
ZC.CZC,2013/11/7,0.791834387579,0.652575315841,0.64637116415,0.660670879922,0.651794374394,28946.0,3195721000.0,0,-1.0,0.0170396193451,0.617283951,552.0142679,27864.0,0.655690072639,0.653268765133,-1.0,0.463944587254,2013/11/7,2013/11/7,-4.0169054658,-3.83276893445,-3.76709124909,0.0,0.0,0.0,0.344885784274,0.32423095971,0.507420654642,1.0
ZC.CZC,2013/11/8,0.793559516964,0.671525753158,0.675596687774,0.681088964511,0.670708050436,84524.0,9514731700.0,0,1.2,0.0184547798502,1.268115942,562.8420153,30710.0,0.669249394673,0.679418886199,4.2,0.591470025691,2013/11/8,2013/11/8,-3.99503516899,-3.77564990269,-3.68145328321,0.0,0.0,0.0,0.400264882034,0.376421551354,0.546822496472,1.0
ZC.CZC,2013/11/11,0.804772857964,0.674927113703,0.669264490989,0.680116674769,0.669253152279,40250.0,4515717600.0,0,-3.6,0.0154024457973,0.857449089,560.9587081,30426.0,0.679418886199,0.675060532688,-1.8,0.44494007286,2013/11/11,2013/11/11,-3.94583371011,-3.76205204009,-3.6868897385,0.0,0.0,0.0,0.38192238722,0.358966863958,0.461334743011,0.0
ZC.CZC,2013/11/12,0.803910293272,0.672497570457,0.662932294204,0.679630529898,0.671677982541,33210.0,3715376700.0,0,-0.8,0.0171761623091,0.429184549,559.3761969,33356.0,0.675060532688,0.671186440678,-1.6,0.449674115386,2013/11/12,2013/11/12,-3.77643405471,-3.74029699285,-3.70863675089,0.0,0.0,0.0,0.40075714068,0.376901705704,0.511241405529,1.0
ZC.CZC,2013/11/13,0.805347901093,0.673955296404,0.671699951291,0.682547399125,0.678952473327,36620.0,4116050300.0,0,3.8,0.020089843315,0.856836844,561.9948525,31466.0,0.671186440678,0.677481840194,2.6,0.552216684678,2013/11/13,2013/11/13,-3.43797975071,-3.65329579198,-3.71271452756,-3.71331698252,0.0,0.0,0.372510870712,0.349944291567,0.592682891813,1.0
