heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
ZN,20100104.0,0.792780998691,0.787441424555,0.79378742515,0.798217932059,0.80083618396,21240.0,21300.0,235.0,295.0,0.682912756944,305828.52,42678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69687710098,0.0
ZN,20100105.0,0.801757995137,0.80618556701,0.803517964072,0.805643215148,0.807867730901,21650.0,21500.0,145.0,-5.0,0.538817470112,5062444.72,168020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556178024169,0.0
ZN,20100106.0,0.809799887788,0.805998125586,0.807634730539,0.814367922777,0.81755986317,21740.0,21775.0,240.0,275.0,0.67052812375,4525611.84,161544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684857174905,0.0
ZN,20100107.0,0.813166261455,0.816307403936,0.828967065868,0.839056989048,0.811478525276,21725.0,21980.0,-50.0,205.0,0.637207220115,5720354.83,146986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653400161242,0.0
ZN,20100108.0,0.812605199177,0.823992502343,0.805389221557,0.805828847225,0.794374762448,21210.0,21265.0,-770.0,-715.0,0.20608117461,6532858.37,140680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0125050899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.220393501113,0.0
ZN,20100111.0,0.793342060969,0.797188378632,0.80501497006,0.808613328383,0.811478525276,21735.0,21605.0,470.0,340.0,0.704415568994,4034368.82,135738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2582362797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715893456121,1.0
ZN,20100112.0,0.812979240696,0.809934395501,0.808383233533,0.801930573603,0.802926643862,21490.0,21365.0,-115.0,-240.0,0.428759406731,4792158.84,147190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1443747897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446220439798,0.0
ZN,20100113.0,0.80381522349,0.800937207123,0.767776946108,0.773343233711,0.77251995439,20450.0,20600.0,-915.0,-765.0,0.17872599573,3712717.2,134540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0883348154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18651537724,0.0
ZN,20100114.0,0.764914905555,0.772258669166,0.783495508982,0.778355299796,0.779931584949,20610.0,20705.0,10.0,105.0,0.593473021192,3734660.84,142024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3293542545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60907485966,1.0
ZN,20100115.0,0.770899569852,0.776194939082,0.769086826347,0.773900129942,0.76776890916,20470.0,20545.0,-235.0,-160.0,0.462145685946,4233677.35,133166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6770438278,19.0031109702,0.0,0.0,0.0,0.0,0.0,0.0,0.480220172464,0.0
